name,atfd,laa,fdp
net.sourceforge.ganttproject.ChartComponentBase.java:71,0,-1.0,0
net.sourceforge.ganttproject.ChartComponentBase.java:75,1,0.5,1
net.sourceforge.ganttproject.ChartComponentBase.java:85,0,1.0,0
net.sourceforge.ganttproject.ChartComponentBase.java:89,0,1.0,0
net.sourceforge.ganttproject.ChartComponentBase.java:93,1,0.0,1
net.sourceforge.ganttproject.ChartComponentBase.java:97,2,0.0,1
net.sourceforge.ganttproject.ChartComponentBase.java:101,1,0.0,1
net.sourceforge.ganttproject.ChartComponentBase.java:105,2,0.0,1
net.sourceforge.ganttproject.ChartComponentBase.java:109,1,0.5,1
net.sourceforge.ganttproject.ChartComponentBase.java:113,1,0.5,1
net.sourceforge.ganttproject.ChartComponentBase.java:117,1,0.5,1
net.sourceforge.ganttproject.ChartComponentBase.java:120,1,0.5,1
net.sourceforge.ganttproject.ChartComponentBase.java:124,0,1.0,0
net.sourceforge.ganttproject.ChartComponentBase.java:128,1,0.0,1
net.sourceforge.ganttproject.ChartComponentBase.java:132,1,0.0,1
net.sourceforge.ganttproject.ChartComponentBase.java:136,1,0.0,1
net.sourceforge.ganttproject.ChartComponentBase.java:140,1,0.5,1
net.sourceforge.ganttproject.ChartComponentBase.java:144,2,0.5,1
net.sourceforge.ganttproject.ChartComponentBase.java:151,1,0.0,1
net.sourceforge.ganttproject.ChartComponentBase.java:155,0,-1.0,0
net.sourceforge.ganttproject.ChartComponentBase.java:157,0,-1.0,0
net.sourceforge.ganttproject.ChartComponentBase.java:159,0,-1.0,0
net.sourceforge.ganttproject.ChartComponentBase.java:164,0,-1.0,0
net.sourceforge.ganttproject.ChartComponentBase.java:166,0,-1.0,0
net.sourceforge.ganttproject.ChartComponentBase.java:168,0,-1.0,0
net.sourceforge.ganttproject.ChartComponentBase.java:178,3,0.4,2
net.sourceforge.ganttproject.ChartComponentBase.java:184,0,-1.0,0
net.sourceforge.ganttproject.ChartComponentBase.java:187,0,1.0,0
net.sourceforge.ganttproject.ChartComponentBase.java:200,9,0.4375,2
net.sourceforge.ganttproject.ChartComponentBase.java:223,0,-1.0,0
net.sourceforge.ganttproject.ChartComponentBase.java:229,9,0.25,3
net.sourceforge.ganttproject.ChartComponentBase.java:250,1,0.5,1
net.sourceforge.ganttproject.ChartComponentBase.java:254,1,0.5,1
net.sourceforge.ganttproject.ChartComponentBase.java:259,1,0.0,1
net.sourceforge.ganttproject.ChartComponentBase.java:263,1,0.0,1
