name,wmc,atfd,tcc
org.apache.html.dom.HTMLAnchorElementImpl.java,30,0,0.0
org.apache.html.dom.HTMLAppletElementImpl.java,22,0,0.0
org.apache.html.dom.HTMLAreaElementImpl.java,20,0,0.0
org.apache.html.dom.HTMLBRElementImpl.java,2,0,0.0
org.apache.html.dom.HTMLBaseElementImpl.java,4,0,0.0
org.apache.html.dom.HTMLBaseFontElementImpl.java,6,0,0.0
org.apache.html.dom.HTMLBodyElementImpl.java,12,0,0.0
org.apache.html.dom.HTMLBuilder.java,32,7,0.4722222222222222
org.apache.html.dom.HTMLButtonElementImpl.java,16,0,0.0
org.apache.html.dom.HTMLCollectionImpl.java,51,10,0.14285714285714285
org.apache.html.dom.HTMLDListElementImpl.java,2,0,0.0
org.apache.html.dom.HTMLDOMImplementationImpl.java,3,1,0.0
org.apache.html.dom.HTMLDirectoryElementImpl.java,2,0,0.0
org.apache.html.dom.HTMLDivElementImpl.java,2,0,0.0
org.apache.html.dom.HTMLDocumentImpl.java,76,40,0.012903225806451613
org.apache.html.dom.HTMLElementImpl.java,37,13,0.0
org.apache.html.dom.HTMLFieldSetElementImpl.java,0,0,0.0
org.apache.html.dom.HTMLFontElementImpl.java,6,0,0.0
org.apache.html.dom.HTMLFormControl.java,0,0,0.0
org.apache.html.dom.HTMLFormElementImpl.java,19,3,0.0
org.apache.html.dom.HTMLFrameElementImpl.java,16,0,0.0
org.apache.html.dom.HTMLFrameSetElementImpl.java,4,0,0.0
org.apache.html.dom.HTMLHRElementImpl.java,8,0,0.0
org.apache.html.dom.HTMLHeadElementImpl.java,2,0,0.0
org.apache.html.dom.HTMLHeadingElementImpl.java,2,0,0.0
org.apache.html.dom.HTMLHtmlElementImpl.java,2,0,0.0
org.apache.html.dom.HTMLIFrameElementImpl.java,20,0,0.0
org.apache.html.dom.HTMLImageElementImpl.java,26,0,0.0
org.apache.html.dom.HTMLInputElementImpl.java,42,0,0.0
org.apache.html.dom.HTMLIsIndexElementImpl.java,2,0,0.0
org.apache.html.dom.HTMLLIElementImpl.java,4,0,0.0
org.apache.html.dom.HTMLLabelElementImpl.java,8,0,0.0
org.apache.html.dom.HTMLLegendElementImpl.java,8,0,0.0
org.apache.html.dom.HTMLLinkElementImpl.java,18,0,0.0
