Type,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Method,Abstract Method - model.tenant.Tenant.getId,,,,,,,,,,,,,,,,,,,,,,,,,80,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Abstract Method - model.tenant.Tenant.simplify,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Abstract Method - security.tokengenerators.TokenProvider.generateToken,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Abstract Method - security.tokengenerators.TokenProvider.validateToken,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Class,Class - controllers.BatchController.createBatches.(Anon_1),0,0,0,0,0,0,0,0,2,0,0,,0,0,,,0,0,0,12,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,,0,0.00,0,0,0,0
Class,Class - controllers.BatchController.createObservations.(Anon_2),0,0,0,0,0,0,0,0,2,0,0,,0,0,,,0,0,0,12,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,,0,0.00,0,0,0,0
Class,Class - controllers.dto.BatchStatusDTO.(Anon_1),1,1,1,1,3,0,3,0,1,2,0,,0,0,,,1,0,1,29,0,0,0,1,,4,0,4,2,1,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Class,Class - controllers.dto.BatchStatusDTO.(Anon_10),1,1,1,1,3,0,3,0,1,2,0,,0,0,,,1,0,1,29,0,0,0,1,,4,0,4,2,1,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Class,Class - controllers.dto.BatchStatusDTO.(Anon_11),1,1,1,1,3,0,3,0,1,2,0,,0,0,,,1,0,1,29,0,0,0,1,,4,0,4,2,1,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Class,Class - controllers.dto.BatchStatusDTO.(Anon_12),1,1,1,1,3,0,3,0,1,2,0,,0,0,,,1,0,1,29,0,0,0,1,,4,0,4,2,1,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Class,Class - controllers.dto.BatchStatusDTO.(Anon_13),1,1,1,1,3,0,3,0,1,2,0,,0,0,,,1,0,1,29,0,0,0,1,,4,0,4,2,1,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Class,Class - controllers.dto.BatchStatusDTO.(Anon_14),1,1,1,1,3,0,3,0,1,2,0,,0,0,,,1,0,1,29,0,0,0,1,,4,0,4,2,1,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Class,Class - controllers.dto.BatchStatusDTO.(Anon_15),1,1,1,1,3,0,3,0,1,2,0,,0,0,,,1,0,1,29,0,0,0,1,,4,0,4,2,1,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Class,Class - controllers.dto.BatchStatusDTO.(Anon_16),1,1,1,1,3,0,3,0,1,2,0,,0,0,,,1,0,1,29,0,0,0,1,,4,0,4,2,1,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Class,Class - controllers.dto.BatchStatusDTO.(Anon_2),1,1,1,1,3,0,3,0,1,2,0,,0,0,,,1,0,1,29,0,0,0,1,,4,0,4,2,1,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Class,Class - controllers.dto.BatchStatusDTO.(Anon_3),1,1,1,1,3,0,3,0,1,2,0,,0,0,,,1,0,1,29,0,0,0,1,,4,0,4,2,1,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
