Type,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Method,Abstract Method - br.com.goclip.model.reports.temporal.util.Aggregation.addedDocuments,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Abstract Method - br.com.goclip.model.reports.temporal.util.Aggregation.indexedDocuments,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Abstract Method - br.com.goclip.security.Authorized.permissoes,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Abstract Method - br.com.goclip.service.filesystem.FileSystemStrategy.generateUploadParameters,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Abstract Method - br.com.goclip.service.filesystem.FileSystemStrategy.generateUploadURL,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Abstract Method - br.com.goclip.service.filesystem.FileSystemStrategy.generateURL,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Abstract Method - br.com.goclip.service.filesystem.FileSystemStrategy.getFileVersion,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Abstract Method - br.com.goclip.service.filesystem.FileSystemStrategy.getObjectKey,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Abstract Method - br.com.goclip.service.filesystem.FileSystemStrategy.getObjectKeyByFileType,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Abstract Method - br.com.goclip.service.filesystem.FileSystemStrategy.getObjectKeyOriginFile,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Class,Class - br.com.goclip.util.constants.ClipUtilsTest.shouldGetDaysBetweenDates.(Anon_1),1,1,1,1,3,0,3,0,2,3,0,,0,0,,,1,0,1,13,0,0,0,1,,5,0,5,1,4,0,,,,1,2,1,1,,,,,,1,1,1,1,,0,0,,0,0.00,1,1,1,1
Class,Class - br.com.goclip.util.constants.ClipUtilsTest.shouldGetDaysBetweenDatesMonthSpan.(Anon_2),1,1,1,1,3,0,3,0,2,3,0,,0,0,,,1,0,1,13,0,0,0,1,,5,0,5,1,4,0,,,,1,2,1,1,,,,,,1,1,1,1,,0,0,,0,0.00,1,1,1,1
Class,Class - br.com.goclip.util.constants.ClipUtilsTest.shouldGetMonthsBetweenDates.(Anon_3),1,1,1,1,3,0,3,0,2,3,0,,0,0,,,1,0,1,13,0,0,0,1,,5,0,5,1,4,0,,,,1,2,1,1,,,,,,1,1,1,1,,0,0,,0,0.00,1,1,1,1
Class,Class - br.com.goclip.util.constants.ClipUtilsTest.shouldGetMonthsBetweenDates.(Anon_4),1,1,1,1,3,0,3,0,2,2,0,,0,0,,,1,0,1,13,0,0,0,1,,5,0,5,1,4,0,,,,1,2,1,1,,,,,,1,1,1,1,,0,0,,0,0.00,1,1,1,1
Class,Private Class - Global.ActionWrapper,1,1,1,1,4,0,4,0,1,2,0,,0,0,,,2,0,2,14,0,0,0,2,,13,1,12,6,5,0,,,,5,8,5,3,,,,,,1,1,1,1,,1,0,,0,0.00,2,2,2,2
Method,Private Constructor - br.com.goclip.model.user.Account.Account,,,,,,,,,,,,,,,,,,,,,,,,,5,8,0,8,1,5,0,7,2,0,4,6,1,5,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Method,Private Constructor - br.com.goclip.model.user.User.User,,,,,,,,,,,,,,,,,,,,,,,,,20,62,3,57,19,32,2,22,32,2,22,28,1,27,6,6,6,1,5,,,,,0,,1,0,,0.04,,,,
Method,Private Constructor - br.com.goclip.model.user.UserGroup.UserGroup,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Constructor - br.com.goclip.model.user.UserGroup.UserGroup,,,,,,,,,,,,,,,,,,,,,,,,,8,24,3,21,7,12,0,11,2,0,10,12,1,11,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
Method,Private Constructor - br.com.goclip.util.mongo.JongoInstance.JongoInstance,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.controllers.CaptchaController.verify.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,7,2,0,3,4,1,3,2,2,2,1,1,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.controllers.ContactController.sendEmail.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,0,13,2,11,1,11,0,6,1,0,9,9,1,8,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.controllers.DocumentController.confirmDocument.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,6,8,0,8,2,7,0,4,2,0,4,5,1,4,2,2,2,1,1,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.controllers.DocumentController.confirmDocument.(lambda_expr_2),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.controllers.DocumentController.editDocument.(catch_12).(lambda_expr_2),,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,4,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.controllers.DocumentController.editDocument.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,4,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
