Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractRepositoryTest.java",1,1,1,1,4,0,4,0,,,,1,0,1,,1,1,2,1,,0,0,0,1,,37,9,25,21,5,3,,,,16,18,16,2,,,,,,1,1,1,1,,,0,,,0.12,1,1,1,1
File,"Address.java",1,1,1,1,4,0,4,0,,,,1,0,0,,8,8,7,8,,0,0,0,8,,63,11,49,26,14,3,,,,24,33,19,14,,,,,,1,1,1,1,,,0,,,0.06,8,8,8,8
File,"App.java",3,3,3,1,18,2,15,0,,,,1,2,1,,5,3,1,5,,0,3,0,2,,158,31,124,40,83,8,,,,78,89,39,50,,,,,,8,6,9,1,,,3,,,0.06,16,14,17,5
File,"AppTest.java",1,1,1,1,5,0,5,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,15,3,8,3,3,4,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,0.50,1,1,1,1
File,"AuthenticationException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,12,2,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
File,"AuthenticationInterceptor.java",0,0,0,0,0,0,0,0,,,,1,0,0,,0,0,0,0,,0,0,0,0,,16,4,8,7,0,4,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,0.50,0,0,0,0
File,"BaseTest.java",0,0,0,0,0,0,0,0,,,,1,0,0,,0,0,2,0,,0,0,0,0,,27,5,12,11,2,11,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,0.92,0,0,0,0
File,"Board.java",1,1,1,1,3,0,3,0,,,,1,0,0,,7,7,2,7,,0,0,0,7,,52,11,38,18,12,3,,,,16,24,15,9,,,,,,1,1,1,1,,,0,,,0.08,7,7,7,7
File,"Client.java",1,1,1,1,4,0,4,0,,,,4,0,0,,33,35,25,35,,0,0,0,35,,257,47,207,95,79,3,,,,113,154,73,81,,,,,,10,10,11,6,,,1,,,0.01,48,48,49,40
File,"ClientAlterdataDTO.java",1,1,1,1,21,0,21,0,,,,2,0,0,,2,2,20,2,,0,0,0,2,,84,9,72,48,20,3,,,,44,48,28,20,,,,,,1,1,1,1,,,0,,,0.04,2,2,2,2
File,"ClientController.java",1,1,1,1,11,0,5,5,,,,1,0,0,,12,12,2,12,,0,0,0,12,,203,27,113,75,34,65,,,,51,67,48,19,,,,,,3,3,3,1,,,1,,,0.58,15,15,15,12
File,"ClientControllerTest.java",1,1,1,1,9,1,7,0,,,,1,0,0,,32,32,2,32,,0,16,0,16,,320,69,247,113,176,7,,,,98,115,74,41,,,,,,1,1,1,1,,,0,,,0.03,32,32,32,32
File,"ClientException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,13,3,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
File,"ClientNotFoundException.java",1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,13,3,7,4,1,3,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.43,1,1,1,1
