name,wmc,atfd,tcc
net.sourceforge.ganttproject.GanttCalendar.java,43,31,0.006896551724137931
net.sourceforge.ganttproject.GanttCalendarDays.java,4,0,0.0
net.sourceforge.ganttproject.GanttExportSettings.java,0,0,0.0
net.sourceforge.ganttproject.GanttGraphicArea.java,388,423,0.10655737704918032
net.sourceforge.ganttproject.GanttImagePanel.java,4,1,0.0
net.sourceforge.ganttproject.GanttOptions.java,217,191,0.06628621597892889
net.sourceforge.ganttproject.GanttPrintable.java,9,18,0.0
net.sourceforge.ganttproject.GanttProject.java,425,698,0.013960481099656358
net.sourceforge.ganttproject.GanttResourcePanel.java,79,66,0.03492063492063492
net.sourceforge.ganttproject.GanttSplash.java,2,29,0.0
net.sourceforge.ganttproject.GanttTask.java,12,10,0.022222222222222223
net.sourceforge.ganttproject.GanttTaskRelationship.java,20,8,0.3787878787878788
net.sourceforge.ganttproject.GanttTree.java,218,313,0.034373586612392586
net.sourceforge.ganttproject.IGanttProject.java,14,0,0.0
net.sourceforge.ganttproject.PrjInfos.java,4,0,0.0
net.sourceforge.ganttproject.ResourceLoadGraphicArea.java,241,222,0.20504201680672268
net.sourceforge.ganttproject.action.DeleteHumanAction.java,12,14,0.0
net.sourceforge.ganttproject.action.ImportResources.java,4,6,0.0
net.sourceforge.ganttproject.action.NewArtefactAction.java,4,2,0.0
net.sourceforge.ganttproject.action.NewHumanAction.java,5,7,0.0
net.sourceforge.ganttproject.action.NewTaskAction.java,4,7,0.0
net.sourceforge.ganttproject.action.ResourceAction.java,2,1,0.0
net.sourceforge.ganttproject.action.ResourceActionSet.java,2,2,0.0
net.sourceforge.ganttproject.action.RolloverAction.java,1,0,0.0
net.sourceforge.ganttproject.chart.ChartHeader.java,1,0,0.0
net.sourceforge.ganttproject.chart.ChartHeaderImpl.java,13,11,0.03571428571428571
net.sourceforge.ganttproject.chart.ChartModel.java,6,0,0.0
net.sourceforge.ganttproject.chart.ChartModelImpl.java,15,2,0.16363636363636364
net.sourceforge.ganttproject.chart.ChartUIConfiguration.java,8,5,0.0
net.sourceforge.ganttproject.chart.GraphicPrimitiveContainer.java,17,32,0.05555555555555555
net.sourceforge.ganttproject.document.AbstractDocument.java,10,0,0.0
net.sourceforge.ganttproject.document.AbstractURLDocument.java,1,0,0.0
net.sourceforge.ganttproject.document.Document.java,15,0,0.0
net.sourceforge.ganttproject.document.DocumentCreator.java,5,0,0.0
net.sourceforge.ganttproject.document.DocumentsMRU.java,13,2,0.16666666666666666
net.sourceforge.ganttproject.document.FileDocument.java,12,2,0.03571428571428571
net.sourceforge.ganttproject.document.HttpDocument.java,52,33,0.10833333333333334
net.sourceforge.ganttproject.document.HttpDocumentOutputStream.java,2,2,0.0
net.sourceforge.ganttproject.document.OpenDocumentAction.java,3,26,0.0
net.sourceforge.ganttproject.export.DeprecatedProjectExportData.java,0,0,0.0
net.sourceforge.ganttproject.export.ExportException.java,0,0,0.0
net.sourceforge.ganttproject.export.FontMetricsStorage.java,3,0,0.0
net.sourceforge.ganttproject.export.FontRecord.java,6,1,0.13333333333333333
net.sourceforge.ganttproject.export.FontTriplet.java,3,0,0.0
net.sourceforge.ganttproject.export.GanttChartExportData.java,0,0,0.0
net.sourceforge.ganttproject.export.GanttChartExportProcessor.java,1,0,0.0
net.sourceforge.ganttproject.export.JDKFontLocator.java,18,13,0.0
net.sourceforge.ganttproject.export.PDFExportData.java,0,0,0.0
net.sourceforge.ganttproject.export.PDFExportProcessor.java,29,33,0.027777777777777776
net.sourceforge.ganttproject.export.ProjectExportData.java,0,0,0.0
net.sourceforge.ganttproject.export.ProjectExportProcessor.java,8,2,0.0
net.sourceforge.ganttproject.export.ResourceChartExportData.java,0,0,0.0
net.sourceforge.ganttproject.export.ResourceChartExportProcessor.java,1,0,0.0
net.sourceforge.ganttproject.filter.GanttCSVFilter.java,8,2,0.0
net.sourceforge.ganttproject.filter.GanttHTMLFileFilter.java,3,1,0.0
net.sourceforge.ganttproject.filter.GanttJPGFileFilter.java,3,1,0.0
net.sourceforge.ganttproject.filter.GanttPDFFileFilter.java,3,1,0.0
net.sourceforge.ganttproject.filter.GanttPNGFileFilter.java,3,1,0.0
net.sourceforge.ganttproject.filter.GanttTXTFileFilter.java,8,2,0.0
net.sourceforge.ganttproject.filter.GanttXFIGFileFilter.java,3,1,0.0
net.sourceforge.ganttproject.filter.GanttXMLFileFilter.java,9,2,0.0
net.sourceforge.ganttproject.filter.GanttXSLFileFilter.java,3,1,0.0
net.sourceforge.ganttproject.gui.DialogAligner.java,3,14,0.0
net.sourceforge.ganttproject.gui.GanttApplet.java,6,4,0.16666666666666666
net.sourceforge.ganttproject.gui.GanttCellListRenderer.java,3,3,0.0
net.sourceforge.ganttproject.gui.GanttDialogCalendar.java,3,15,0.0
net.sourceforge.ganttproject.gui.GanttDialogDate.java,5,13,0.3333333333333333
net.sourceforge.ganttproject.gui.GanttDialogInfo.java,10,10,0.0
net.sourceforge.ganttproject.gui.GanttDialogPerson.java,12,148,0.027777777777777776
net.sourceforge.ganttproject.gui.GanttDialogProperties.java,17,25,0.0
net.sourceforge.ganttproject.gui.GanttLookAndFeelInfo.java,1,2,0.0
net.sourceforge.ganttproject.gui.GanttLookAndFeels.java,12,12,0.0
net.sourceforge.ganttproject.gui.GanttMetalTheme.java,5,2,1.0
net.sourceforge.ganttproject.gui.GanttPanelDate.java,28,56,0.0
net.sourceforge.ganttproject.gui.GanttPreviewPrint.java,21,71,0.1
net.sourceforge.ganttproject.gui.GanttStatusBar.java,30,35,0.12121212121212122
net.sourceforge.ganttproject.gui.GanttTaskPropertiesBean.java,52,176,0.06157635467980296
net.sourceforge.ganttproject.gui.GanttURLChooser.java,4,21,0.0
net.sourceforge.ganttproject.gui.GeneralDialog.java,13,37,0.0
net.sourceforge.ganttproject.gui.OpenFileDialog.java,3,6,0.0
net.sourceforge.ganttproject.gui.ResourcesTableModel.java,28,13,0.0
net.sourceforge.ganttproject.gui.RolesTableModel.java,17,5,0.027777777777777776
net.sourceforge.ganttproject.gui.TestGanttRolloverButton.java,12,7,0.19047619047619047
net.sourceforge.ganttproject.gui.TipsDialog.java,7,106,0.0
net.sourceforge.ganttproject.gui.UIConfiguration.java,12,4,0.08888888888888889
net.sourceforge.ganttproject.gui.about.AboutAuthorPanel.java,13,12,0.0
net.sourceforge.ganttproject.gui.about.AboutDialog.java,7,14,0.0
net.sourceforge.ganttproject.gui.about.AboutJavaInfosPanel.java,16,14,0.0
net.sourceforge.ganttproject.gui.about.AboutLibraryPanel.java,15,17,0.0
net.sourceforge.ganttproject.gui.about.AboutLicensePanel.java,2,6,0.0
net.sourceforge.ganttproject.gui.about.AboutPanel.java,4,18,0.0
net.sourceforge.ganttproject.gui.options.CSVSettingsPanel.java,67,165,0.010869565217391304
net.sourceforge.ganttproject.gui.options.ColorSettingsPanel.java,15,18,0.0
net.sourceforge.ganttproject.gui.options.ExportSettingsPanel.java,11,20,0.0
net.sourceforge.ganttproject.gui.options.GeneralOptionPanel.java,6,9,0.0
net.sourceforge.ganttproject.gui.options.HTMLSettingsPanel.java,16,24,0.0
net.sourceforge.ganttproject.gui.options.LanguageSettingsPanel.java,30,33,0.0
net.sourceforge.ganttproject.gui.options.LnFSettingsPanel.java,15,28,0.0
net.sourceforge.ganttproject.gui.options.PDFSettingsPanel.java,18,24,0.0
net.sourceforge.ganttproject.gui.options.ParametersSettingsPanel.java,14,27,0.0
net.sourceforge.ganttproject.gui.options.ProjectSettingsPanel.java,13,35,0.0
net.sourceforge.ganttproject.gui.options.RolesSettingsPanel.java,3,5,0.0
net.sourceforge.ganttproject.gui.options.SettingsDialog.java,18,26,0.0
net.sourceforge.ganttproject.gui.options.TopPanel.java,3,13,0.0
net.sourceforge.ganttproject.gui.options.WelcomeSettingsPanel.java,2,1,0.0
net.sourceforge.ganttproject.gui.projectwizard.I18N.java,5,2,0.0
net.sourceforge.ganttproject.gui.projectwizard.NewProjectWizard.java,1,0,0.0
net.sourceforge.ganttproject.gui.projectwizard.NewProjectWizardWindow.java,2,1,1.0
