name,wmc,atfd,tcc
org.apache.html.dom.HTMLAnchorElementImpl,30,0,0.0
org.apache.html.dom.HTMLAppletElementImpl,22,0,0.0
org.apache.html.dom.HTMLAreaElementImpl,20,0,0.0
org.apache.html.dom.HTMLBRElementImpl,2,0,0.0
org.apache.html.dom.HTMLBaseElementImpl,4,0,0.0
org.apache.html.dom.HTMLBaseFontElementImpl,6,0,0.0
org.apache.html.dom.HTMLBodyElementImpl,12,0,0.0
org.apache.html.dom.HTMLBuilder,32,7,0.6944444444444444
org.apache.html.dom.HTMLButtonElementImpl,16,0,0.0
org.apache.html.dom.HTMLCollectionImpl,51,10,0.14285714285714285
org.apache.html.dom.HTMLDListElementImpl,2,0,0.0
org.apache.html.dom.HTMLDOMImplementationImpl,3,1,0.0
org.apache.html.dom.HTMLDirectoryElementImpl,2,0,0.0
org.apache.html.dom.HTMLDivElementImpl,2,0,0.0
org.apache.html.dom.HTMLDocumentImpl,76,37,0.013793103448275862
org.apache.html.dom.HTMLElementImpl,37,13,0.0
org.apache.html.dom.HTMLFieldSetElementImpl,0,0,0.0
org.apache.html.dom.HTMLFontElementImpl,6,0,0.0
org.apache.html.dom.HTMLFormControl,0,0,0.0
org.apache.html.dom.HTMLFormElementImpl,19,3,0.0
org.apache.html.dom.HTMLFrameElementImpl,16,0,0.0
org.apache.html.dom.HTMLFrameSetElementImpl,4,0,0.0
org.apache.html.dom.HTMLHRElementImpl,8,0,0.0
org.apache.html.dom.HTMLHeadElementImpl,2,0,0.0
org.apache.html.dom.HTMLHeadingElementImpl,2,0,0.0
org.apache.html.dom.HTMLHtmlElementImpl,2,0,0.0
org.apache.html.dom.HTMLIFrameElementImpl,20,0,0.0
org.apache.html.dom.HTMLImageElementImpl,26,0,0.0
org.apache.html.dom.HTMLInputElementImpl,42,0,0.0
org.apache.html.dom.HTMLIsIndexElementImpl,2,0,0.0
org.apache.html.dom.HTMLLIElementImpl,4,0,0.0
org.apache.html.dom.HTMLLabelElementImpl,8,0,0.0
org.apache.html.dom.HTMLLegendElementImpl,8,0,0.0
org.apache.html.dom.HTMLLinkElementImpl,18,0,0.0
org.apache.html.dom.HTMLMapElementImpl,5,3,0.0
org.apache.html.dom.HTMLMenuElementImpl,2,0,0.0
org.apache.html.dom.HTMLMetaElementImpl,8,0,0.0
org.apache.html.dom.HTMLModElementImpl,4,0,0.0
org.apache.html.dom.HTMLOListElementImpl,6,0,0.0
org.apache.html.dom.HTMLObjectElementImpl,35,0,0.0
org.apache.html.dom.HTMLOptGroupElementImpl,4,0,0.0
org.apache.html.dom.HTMLOptionElementImpl,26,5,0.0
org.apache.html.dom.HTMLParagraphElementImpl,2,0,0.0
org.apache.html.dom.HTMLParamElementImpl,8,0,0.0
org.apache.html.dom.HTMLPreElementImpl,2,0,0.0
org.apache.html.dom.HTMLQuoteElementImpl,2,0,0.0
org.apache.html.dom.HTMLScriptElementImpl,17,2,0.0
org.apache.html.dom.HTMLSelectElementImpl,28,5,0.0
org.apache.html.dom.HTMLStyleElementImpl,6,0,0.0
org.apache.html.dom.HTMLTableCaptionElementImpl,2,0,0.0
org.apache.html.dom.HTMLTableCellElementImpl,43,4,0.0
org.apache.html.dom.HTMLTableColElementImpl,16,0,0.0
org.apache.html.dom.HTMLTableElementImpl,73,11,0.0
org.apache.html.dom.HTMLTableRowElementImpl,41,9,0.0
org.apache.html.dom.HTMLTableSectionElementImpl,26,5,0.0
org.apache.html.dom.HTMLTextAreaElementImpl,26,0,0.0
org.apache.html.dom.HTMLTitleElementImpl,5,2,0.0
org.apache.html.dom.HTMLUListElementImpl,4,0,0.0
org.apache.html.dom.NameNodeListImpl,11,7,0.0
org.apache.html.dom.ObjectFactory,59,22,0.2857142857142857
org.apache.html.dom.SecuritySupport,23,7,0.0
org.apache.wml.WMLAElement,8,0,0.0
org.apache.wml.WMLAccessElement,4,0,0.0
org.apache.wml.WMLAnchorElement,4,0,0.0
org.apache.wml.WMLBElement,2,0,0.0
org.apache.wml.WMLBigElement,2,0,0.0
org.apache.wml.WMLBrElement,2,0,0.0
org.apache.wml.WMLCardElement,14,0,0.0
org.apache.wml.WMLDOMImplementation,0,0,0.0
org.apache.wml.WMLDoElement,10,0,0.0
org.apache.wml.WMLDocument,0,0,0.0
org.apache.wml.WMLElement,4,0,0.0
org.apache.wml.WMLEmElement,2,0,0.0
org.apache.wml.WMLFieldsetElement,4,0,0.0
org.apache.wml.WMLGoElement,8,0,0.0
org.apache.wml.WMLHeadElement,0,0,0.0
org.apache.wml.WMLIElement,2,0,0.0
org.apache.wml.WMLImgElement,18,0,0.0
org.apache.wml.WMLInputElement,20,0,0.0
org.apache.wml.WMLMetaElement,10,0,0.0
org.apache.wml.WMLNoopElement,0,0,0.0
org.apache.wml.WMLOneventElement,2,0,0.0
org.apache.wml.WMLOptgroupElement,4,0,0.0
org.apache.wml.WMLOptionElement,8,0,0.0
org.apache.wml.WMLPElement,6,0,0.0
org.apache.wml.WMLPostfieldElement,4,0,0.0
org.apache.wml.WMLPrevElement,0,0,0.0
org.apache.wml.WMLRefreshElement,0,0,0.0
org.apache.wml.WMLSelectElement,16,0,0.0
org.apache.wml.WMLSetvarElement,4,0,0.0
org.apache.wml.WMLSmallElement,2,0,0.0
