DEV 0 ---------------------------------
name,nparam
net.sourceforge.ganttproject.ResourceTreeTable.java:685,4
net.sourceforge.ganttproject.chart.RenderedResourceChartImage.java:12,5
net.sourceforge.ganttproject.GanttProjectBase.java:219,4
net.sourceforge.ganttproject.gui.GeneralDialog.java:83,4
net.sourceforge.ganttproject.UIFacadeImpl.java:67,4
net.sourceforge.ganttproject.gui.options.CSVSettingsPanel.java:251,7
net.sourceforge.ganttproject.CustomPropertyManager.java:11,4
net.sourceforge.ganttproject.task.TaskActivityImpl.java:27,4
net.sourceforge.ganttproject.action.ImportResources.java:53,4
net.sourceforge.ganttproject.parser.VacationTagHandler.java:24,4
net.sourceforge.ganttproject.GPTreeTableBase.java:131,5
net.sourceforge.ganttproject.PrjInfos.java:31,4
net.sourceforge.ganttproject.resource.LoadDistribution.java:100,5
net.sourceforge.ganttproject.action.ResourceActionSet.java:18,4
net.sourceforge.ganttproject.parser.AllocationTagHandler.java:41,4
net.sourceforge.ganttproject.gui.options.SpringUtilities.java:119,4
net.sourceforge.ganttproject.parser.IconPositionTagHandler.java:23,4
net.sourceforge.ganttproject.gui.GanttTaskPropertiesBean.java:313,6
DEV 1 ---------------------------------
net.sourceforge.ganttproject.GanttTreeTable.java:963,4
net.sourceforge.ganttproject.parser.HolidayTagHandler.java:35,4
net.sourceforge.ganttproject.parser.ResourceTagHandler.java:62,4
net.sourceforge.ganttproject.GPTreeTableBase.java:39,4
net.sourceforge.ganttproject.chart.ResourceLoadRenderer.java:172,4
net.sourceforge.ganttproject.gui.GanttURLChooser.java:63,5
net.sourceforge.ganttproject.parser.DependencyTagHandler.java:177,4
net.sourceforge.ganttproject.GanttOptions.java:716,4
net.sourceforge.ganttproject.GanttTree2.java:1793,7
net.sourceforge.ganttproject.gui.options.SpringUtilities.java:44,7
net.sourceforge.ganttproject.shape.ShapePaint.java:48,5
net.sourceforge.ganttproject.chart.ChartGridImpl.java:165,6
net.sourceforge.ganttproject.PreferenceServiceImpl.java:47,4
net.sourceforge.ganttproject.importer.Importer.java:16,4
net.sourceforge.ganttproject.resource.HumanResourceManager.java:267,4
net.sourceforge.ganttproject.PreferenceServiceImpl.java:64,4
net.sourceforge.ganttproject.task.TaskActivityImpl.java:27,4
net.sourceforge.ganttproject.gui.GanttTaskPropertiesBean.java:298,7
net.sourceforge.ganttproject.parser.CustomPropertiesTagHandler.java:52,4
DEV 2 ---------------------------------
net.sourceforge.ganttproject.GanttTaskRelationship.java:63,5
net.sourceforge.ganttproject.task.algorithm.CriticalPathAlgorithmImpl.java:70,7
net.sourceforge.ganttproject.parser.TaskDisplayColumnsTagHandler.java:32,5
net.sourceforge.ganttproject.gui.options.CSVSettingsPanel.java:251,7
net.sourceforge.ganttproject.parser.IconPositionTagHandler.java:23,4
net.sourceforge.ganttproject.task.TaskActivityImpl.java:27,4
net.sourceforge.ganttproject.shape.PaintCellRenderer.java:47,5
net.sourceforge.ganttproject.chart.RenderedResourceChartImage.java:12,5
net.sourceforge.ganttproject.parser.VacationTagHandler.java:24,4
net.sourceforge.ganttproject.chart.GraphicPrimitiveContainer.java:125,4
net.sourceforge.ganttproject.gui.taskproperties.TaskAllocationsPanel.java:177,6
net.sourceforge.ganttproject.print.PrintPreview.java:139,5
net.sourceforge.ganttproject.document.ProxyDocument.java:397,4
net.sourceforge.ganttproject.PreferenceServiceImpl.java:70,4
net.sourceforge.ganttproject.task.algorithm.AlgorithmCollection.java:21,6
net.sourceforge.ganttproject.chart.SkewedFrameOffsetBuilder.java:32,7
net.sourceforge.ganttproject.importer.ImporterFromGanttFile.java:56,4
net.sourceforge.ganttproject.io.GanttXMLSaver.java:63,5
net.sourceforge.ganttproject.print.PrintPreview.java:694,4
DEV 3 ---------------------------------
net.sourceforge.ganttproject.GanttPreviousStateTask.java:37,5
net.sourceforge.ganttproject.time.TimeUnitFunctionOfDateImpl.java:24,4
net.sourceforge.ganttproject.parser.ViewTagHandler.java:20,4
net.sourceforge.ganttproject.document.ProxyDocument.java:397,4
net.sourceforge.ganttproject.PreferenceServiceImpl.java:64,4
net.sourceforge.ganttproject.parser.PreviousStateTasksTagHandler.java:38,4
net.sourceforge.ganttproject.chart.GraphicPrimitiveContainer.java:213,4
net.sourceforge.ganttproject.chart.ChartModelBase.java:820,5
net.sourceforge.ganttproject.io.GanttXMLSaver.java:63,5
net.sourceforge.ganttproject.UIFacadeImpl.java:128,4
net.sourceforge.ganttproject.time.gregorian.GregorianCalendar.java:69,5
net.sourceforge.ganttproject.chart.item.TaskProgressChartItem.java:22,4
net.sourceforge.ganttproject.io.TaskSaver.java:127,5
net.sourceforge.ganttproject.resource.LoadDistribution.java:31,4
net.sourceforge.ganttproject.GanttTreeTable.java:1008,4
net.sourceforge.ganttproject.chart.VisibleNodesFilter.java:17,4
net.sourceforge.ganttproject.chart.RegularFrameOffsetBuilder.java:37,9
net.sourceforge.ganttproject.chart.GraphicPrimitiveContainer.java:223,4
net.sourceforge.ganttproject.GanttProjectBase.java:369,5
DEV 4 ---------------------------------
net.sourceforge.ganttproject.gui.taskproperties.CommonPanel.java:45,7
net.sourceforge.ganttproject.GanttProjectBase.java:369,5
net.sourceforge.ganttproject.gui.GanttTaskPropertiesBean.java:298,7
net.sourceforge.ganttproject.print.PrintPreview.java:694,4
net.sourceforge.ganttproject.time.TimeUnitDateFrameableImpl.java:24,4
net.sourceforge.ganttproject.gui.GanttTabbedPane.java:33,4
net.sourceforge.ganttproject.parser.VacationTagHandler.java:24,4
net.sourceforge.ganttproject.GanttTreeTable.java:1008,4
net.sourceforge.ganttproject.gui.UIConfiguration.java:57,4
net.sourceforge.ganttproject.GanttTreeTable.java:1516,5
net.sourceforge.ganttproject.task.TaskManagerImpl.java:774,4
net.sourceforge.ganttproject.PreferenceServiceImpl.java:53,4
net.sourceforge.ganttproject.io.TaskSaver.java:127,5
net.sourceforge.ganttproject.parser.TaskPropertiesTagHandler.java:23,4
