name,wmc,atfd,tcc,gc
net.sourceforge.ganttproject.ChartComponentBase,94,22,0.004371584699453552,1
net.sourceforge.ganttproject.CustomProperty,3,0,0.0,0
net.sourceforge.ganttproject.CustomPropertyDefinition,6,0,0.0,0
net.sourceforge.ganttproject.CustomPropertyHolder,2,0,0.0,0
net.sourceforge.ganttproject.CustomPropertyManager,28,13,0.0,0
net.sourceforge.ganttproject.ErrorNotifier,3,2,0.0,0
net.sourceforge.ganttproject.FacadeInvalidator,9,0,0.5833333333333334,0
net.sourceforge.ganttproject.GPLogger,12,11,0.1,0
net.sourceforge.ganttproject.GPToolBar,8,8,0.0,0
net.sourceforge.ganttproject.GPTreeTableBase,25,22,0.03571428571428571,0
net.sourceforge.ganttproject.GPVersion,0,0,0.0,0
net.sourceforge.ganttproject.GPView,2,0,0.0,0
net.sourceforge.ganttproject.GPViewManager,4,0,0.0,0
net.sourceforge.ganttproject.GanttCalendar,46,36,0.0064516129032258064,0
net.sourceforge.ganttproject.GanttCalendarDays,4,0,0.0,0
net.sourceforge.ganttproject.GanttChartTabContentPanel,15,36,0.06666666666666667,0
net.sourceforge.ganttproject.GanttExportSettings,6,0,0.2,0
net.sourceforge.ganttproject.GanttGraphicArea,211,164,0.004113924050632912,1
net.sourceforge.ganttproject.GanttImagePanel,2,0,0.0,0
net.sourceforge.ganttproject.GanttOptions,291,153,0.03483817769532055,1
net.sourceforge.ganttproject.GanttPreviousState,31,35,0.20512820512820512,0
net.sourceforge.ganttproject.GanttPreviousStateTask,15,3,0.044444444444444446,0
net.sourceforge.ganttproject.GanttProject,419,522,0.004186346071275226,1
net.sourceforge.ganttproject.GanttProjectBase,86,37,4.662004662004662,0
net.sourceforge.ganttproject.GanttProjectImpl,36,9,0.0142602495543672,0
net.sourceforge.ganttproject.GanttResourcePanel,101,109,0.003770739064856712,1
net.sourceforge.ganttproject.GanttSplash,7,12,0.06666666666666667,0
net.sourceforge.ganttproject.GanttTask,5,2,0.0,0
net.sourceforge.ganttproject.GanttTaskRelationship,21,8,0.32051282051282054,0
net.sourceforge.ganttproject.GanttTree2,371,410,0.010194902548725637,1
net.sourceforge.ganttproject.GanttTreeTable,200,259,0.0038948393378773127,1
