name;atfd;laa;fdp
org.apache.tools.ant.ProjectComponentFactory:110;0;-1.0;0
org.apache.tools.ant.ProjectComponentHelper:98;0;1.0;0
org.apache.tools.ant.ProjectComponentHelper:103;0;1.0;0
org.apache.tools.ant.ProjectComponentHelper:107;2;0.75;2
org.apache.tools.ant.PropertyHelper:115;0;1.0;0
org.apache.tools.ant.PropertyHelper:129;0;1.0;0
org.apache.tools.ant.PropertyHelper:133;0;1.0;0
org.apache.tools.ant.PropertyHelper:142;2;0.6;2
org.apache.tools.ant.PropertyHelper:170;2;0.8;1
org.apache.tools.ant.PropertyHelper:194;3;0.6666667;2
org.apache.tools.ant.PropertyHelper:236;0;1.0;0
org.apache.tools.ant.PropertyHelper:260;3;0.75;3
org.apache.tools.ant.PropertyHelper:314;3;0.6666667;2
org.apache.tools.ant.PropertyHelper:355;3;0.625;2
org.apache.tools.ant.PropertyHelper:382;1;0.8333333;1
org.apache.tools.ant.PropertyHelper:407;1;0.8333333;1
org.apache.tools.ant.PropertyHelper:435;2;0.6666667;2
org.apache.tools.ant.PropertyHelper:456;2;0.6666667;2
org.apache.tools.ant.PropertyHelper:480;1;0.8;1
org.apache.tools.ant.PropertyHelper:500;1;0.8;1
org.apache.tools.ant.PropertyHelper:525;3;0.4;2
org.apache.tools.ant.PropertyHelper:549;2;0.33333334;2
org.apache.tools.ant.PropertyHelper:569;0;1.0;0
org.apache.tools.ant.UnknownElement2:112;0;1.0;0
org.apache.tools.ant.UnknownElement2:116;0;1.0;0
org.apache.tools.ant.UnknownElement2:120;0;1.0;0
org.apache.tools.ant.UnknownElement2:133;11;0.15384616;2
org.apache.tools.ant.UnknownElement2:169;0;1.0;0
org.apache.tools.ant.UnknownElement2:182;0;1.0;0
org.apache.tools.ant.UnknownElement2:194;1;0.75;1
org.apache.tools.ant.UnknownElement2:215;0;1.0;0
org.apache.tools.ant.UnknownElement2:232;14;0.33333334;5
org.apache.tools.ant.UnknownElement2:289;0;1.0;0
org.apache.tools.ant.UnknownElement2:297;0;1.0;0
org.apache.tools.ant.UnknownElement2:309;0;1.0;0
org.apache.tools.ant.UnknownElement2:315;0;1.0;0
org.apache.tools.ant.UnknownElement2:325;0;1.0;0
org.apache.tools.ant.helper.ProjectHelperImpl2:110;0;1.0;0
org.apache.tools.ant.helper.ProjectHelperImpl2:137;0;1.0;0
org.apache.tools.ant.helper.ProjectHelperImpl2:155;26;0.2972973;11
org.apache.tools.ant.helper.ProjectHelperImpl2:264;0;-1.0;0
org.apache.tools.ant.helper.ProjectHelperImpl2:284;1;0.6666667;1
org.apache.tools.ant.helper.ProjectHelperImpl2:292;0;-1.0;0
org.apache.tools.ant.helper.ProjectHelperImpl2:302;0;-1.0;0
org.apache.tools.ant.helper.ProjectHelperImpl2:317;1;0.8333333;1
org.apache.tools.ant.helper.ProjectHelperImpl2:330;0;-1.0;0
org.apache.tools.ant.helper.ProjectHelperImpl2:393;0;1.0;0
org.apache.tools.ant.helper.ProjectHelperImpl2:397;0;1.0;0
org.apache.tools.ant.helper.ProjectHelperImpl2:402;0;1.0;0
org.apache.tools.ant.helper.ProjectHelperImpl2:407;0;1.0;0
org.apache.tools.ant.helper.ProjectHelperImpl2:411;0;1.0;0
org.apache.tools.ant.helper.ProjectHelperImpl2:416;0;1.0;0
org.apache.tools.ant.helper.ProjectHelperImpl2:430;1;0.75;1
org.apache.tools.ant.helper.ProjectHelperImpl2:464;7;0.41666666;5
org.apache.tools.ant.helper.ProjectHelperImpl2:502;0;1.0;0
org.apache.tools.ant.helper.ProjectHelperImpl2:517;1;0.5;1
org.apache.tools.ant.helper.ProjectHelperImpl2:533;0;1.0;0
org.apache.tools.ant.helper.ProjectHelperImpl2:541;0;1.0;0
org.apache.tools.ant.helper.ProjectHelperImpl2:550;2;0.6;2
org.apache.tools.ant.helper.ProjectHelperImpl2:589;17;0.22727273;5
org.apache.tools.ant.helper.ProjectHelperImpl2:677;2;0.33333334;1
org.apache.tools.ant.helper.ProjectHelperImpl2:713;14;0.39130434;5
org.apache.tools.ant.helper.ProjectHelperImpl2:800;1;0.0;1
org.apache.tools.ant.helper.ProjectHelperImpl2:807;2;0.0;1
org.apache.tools.ant.helper.ProjectHelperImpl2:839;14;0.36363637;5
org.apache.tools.ant.helper.ProjectHelperImpl2:940;0;1.0;0
org.apache.tools.ant.helper.ProjectHelperImpl2:961;3;0.4;2
org.apache.tools.ant.helper.ProjectHelperImpl2:982;0;-1.0;0
org.apache.tools.ant.helper.ProjectHelperImpl2:986;0;-1.0;0
org.apache.tools.ant.helper.ProjectHelperImpl2:1023;10;0.5;8
org.apache.tools.ant.helper.ProjectHelperImpl2:1079;2;0.6;2
org.apache.tools.ant.helper.ProjectHelperImpl2:1120;5;0.61538464;3
org.apache.tools.ant.helper.TaskAdapter2:80;0;1.0;0
org.apache.tools.ant.helper.TaskAdapter2:84;2;0.5;1
org.apache.tools.ant.helper.TaskAdapter2:92;1;0.6666667;1
org.apache.tools.ant.helper.TaskAdapter2:98;0;1.0;0
org.apache.tools.ant.helper.TaskAdapter2:107;2;0.71428573;2
org.apache.tools.ant.helper.TaskAdapter2:127;0;1.0;0
org.apache.tools.ant.helper.TaskAdapter2:134;4;0.6666667;3
org.apache.tools.ant.helper.TaskAdapter2:183;0;1.0;0
org.apache.tools.ant.helper.TaskAdapter2:192;0;-1.0;0
org.apache.tools.ant.taskdefs.Description:78;0;1.0;0
org.apache.tools.ant.taskdefs.Description:82;0;1.0;0
org.apache.tools.ant.taskdefs.Description:86;1;0.5;1
org.apache.tools.ant.taskdefs.Import:94;0;1.0;0
org.apache.tools.ant.taskdefs.Import:116;11;0.3888889;4
org.apache.tools.ant.taskdefs.Import:171;2;0.0;1
org.apache.tools.ant.taskdefs.Taskdef2:89;1;0.6666667;1
org.apache.tools.ant.taskdefs.Taskdef2:100;0;1.0;0
org.apache.tools.ant.taskdefs.Taskdef2:111;1;0.5;1
org.apache.tools.ant.taskdefs.Taskdef2:122;2;0.5;2
org.apache.tools.ant.taskdefs.Taskdef2:138;1;0.5;1
org.apache.tools.ant.taskdefs.Taskdef2:143;6;0.64705884;4
