name;wmc;atfd;tcc
org.apache.tools.ant.ProjectComponentFactory;1;0;0.0
org.apache.tools.ant.ProjectComponentHelper;7;0;0.0
org.apache.tools.ant.PropertyHelper;60;22;0.005847953216374269
org.apache.tools.ant.UnknownElement2;30;10;0.1978021978021978
org.apache.tools.ant.helper.ProjectHelperImpl2;118;118;0.004761904761904762
org.apache.tools.ant.helper.TaskAdapter2;19;17;0.08333333333333333
org.apache.tools.ant.taskdefs.Description;3;1;0.3333333333333333
org.apache.tools.ant.taskdefs.Import;9;27;0.3333333333333333
org.apache.tools.ant.taskdefs.Taskdef2;46;12;0.14102564102564102
org.apache.tools.ant.taskdefs.XMLDOM;6;0;1.0
org.apache.tools.ant.taskdefs.optional.JXPath;18;12;0.01818181818181818
org.apache.tools.ant.taskdefs.optional.JXPathSet;6;4;0.3333333333333333
org.apache.tools.ant.taskdefs.optional.JexlProperties;4;5;0.0
org.apache.tools.ant.taskdefs.optional.VelocityProperties;6;7;0.0
org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckin;13;7;0.19047619047619047
org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckout;16;1;0.19444444444444445
org.apache.tools.ant.taskdefs.optional.clearcase.CCFile;8;4;0.5
org.apache.tools.ant.taskdefs.optional.clearcase.CCMatchingTask;19;11;0.08888888888888889
org.apache.tools.ant.taskdefs.optional.clearcase.CCMkelem;22;27;0.14285714285714285
org.apache.tools.ant.taskdefs.optional.clearcase.CCMklabel;13;4;0.2857142857142857
org.apache.tools.ant.taskdefs.optional.clearcase.CCRmname;8;11;0.16666666666666666
org.apache.tools.ant.taskdefs.optional.clearcase.CCUtils;33;44;0.0
org.apache.tools.ant.taskdefs.optional.clearcase.CmdResult;5;0;0.2
org.apache.tools.ant.taskdefs.optional.dotnet.AbstractBuildTask;29;4;0.05
org.apache.tools.ant.taskdefs.optional.dotnet.DotNetExecTask;16;8;0.3333333333333333
org.apache.tools.ant.taskdefs.optional.dotnet.MSBuildTask;14;10;0.0
org.apache.tools.ant.taskdefs.optional.dotnet.NAntTask;10;8;0.0
org.apache.tools.ant.taskdefs.optional.dotnet.NUnitTask;38;10;0.07602339181286549
org.apache.tools.ant.taskdefs.optional.dotnet.WixTask;41;11;0.13186813186813187
org.apache.tools.ant.taskdefs.optional.dotnet.DotNetExecTaskTest;3;0;0.0
org.apache.tools.ant.taskdefs.optional.dotnet.MSBuildTaskTest;7;0;0.0
org.apache.tools.ant.taskdefs.optional.dotnet.NAntTaskTest;7;0;0.0
org.apache.tools.ant.taskdefs.optional.dotnet.NUnitTaskTest;9;0;0.0
org.apache.tools.ant.taskdefs.optional.http.Base64Encode;6;7;0.0
org.apache.tools.ant.taskdefs.optional.http.ContentGuesser;2;0;0.0
org.apache.tools.ant.taskdefs.optional.http.HttpAuthenticationStrategy;1;0;0.0
org.apache.tools.ant.taskdefs.optional.http.HttpBasicAuth;3;2;0.0
org.apache.tools.ant.taskdefs.optional.http.HttpDigestAuth;3;2;0.0
org.apache.tools.ant.taskdefs.optional.http.HttpGet;2;0;0.0
org.apache.tools.ant.taskdefs.optional.http.HttpHead;5;0;0.0
org.apache.tools.ant.taskdefs.optional.http.HttpPost;14;5;0.2
org.apache.tools.ant.taskdefs.optional.http.HttpRequestParameter;6;0;0.13333333333333333
org.apache.tools.ant.taskdefs.optional.http.HttpTask;125;41;0.04440333024976873
org.apache.tools.ant.taskdefs.optional.http.NullOutputStream;3;0;0.0
org.apache.tools.ant.taskdefs.optional.http.SetProxy;17;6;0.05555555555555555
org.apache.tools.ant.taskdefs.optional.http.hostname;12;3;0.13333333333333333
