name;atfd;laa;fdp
com.android.commands.am.Am:67;1;0.6666667;1
com.android.commands.am.Am:79;2;0.7777778;2
com.android.commands.am.Am:114;27;0.37209302;2
com.android.commands.am.Am:262;1;0.75;1
com.android.commands.am.Am:271;19;0.2962963;4
com.android.commands.am.Am:362;0;1.0;0
com.android.commands.am.Am:370;5;0.7222222;3
com.android.commands.am.Am:431;3;0.6666667;1
com.android.commands.am.Am:460;3;0.625;1
com.android.commands.am.Am:515;0;1.0;0
com.android.commands.am.Am:523;0;1.0;0
com.android.commands.am.Am:531;0;1.0;0
com.android.commands.am.Am:549;0;1.0;0
com.android.commands.am.Am:563;0;1.0;0
com.android.commands.am.Am:579;0;1.0;0
com.android.commands.am.Am:592;0;1.0;0
com.android.commands.am.Am:609;0;1.0;0
com.android.commands.am.Am:665;0;1.0;0
com.android.commands.am.Am:673;0;1.0;0
com.android.commands.am.Am:698;2;0.8947368;2
com.android.commands.am.Am:762;0;1.0;0
com.android.commands.am.Am:782;0;1.0;0
com.android.commands.am.Am:793;0;1.0;0
com.android.commands.am.Am:811;0;1.0;0
com.android.commands.am.Am:815;3;0.6666667;2
com.android.commands.am.Am:837;3;0.7;2
com.android.commands.am.Am:861;0;1.0;0
com.android.commands.am.Am:878;1;0.8333333;1
com.android.commands.am.Am:907;1;0.8;1
com.android.commands.am.Am:919;0;1.0;0
com.android.commands.am.Am:928;0;1.0;0
com.android.commands.bmgr.Bmgr:38;0;1.0;0
com.android.commands.bmgr.Bmgr:47;2;0.7777778;2
com.android.commands.bmgr.Bmgr:108;0;1.0;0
com.android.commands.bmgr.Bmgr:112;1;0.75;1
com.android.commands.bmgr.Bmgr:123;1;0.8;1
com.android.commands.bmgr.Bmgr:143;0;1.0;0
com.android.commands.bmgr.Bmgr:152;0;1.0;0
com.android.commands.bmgr.Bmgr:174;0;1.0;0
com.android.commands.bmgr.Bmgr:195;0;1.0;0
com.android.commands.bmgr.Bmgr:211;0;1.0;0
com.android.commands.bmgr.Bmgr:239;2;0.75;2
com.android.commands.bmgr.Bmgr:258;2;0.6666667;2
com.android.commands.bmgr.Bmgr:274;3;0.4;2
com.android.commands.bmgr.Bmgr:288;0;1.0;0
com.android.commands.bmgr.Bmgr:296;0;1.0;0
com.android.commands.bmgr.Bmgr:300;0;1.0;0
com.android.commands.bmgr.Bmgr:304;0;1.0;0
com.android.commands.bmgr.Bmgr:312;0;1.0;0
com.android.commands.bmgr.Bmgr:326;0;1.0;0
com.android.commands.bmgr.Bmgr:349;0;1.0;0
com.android.commands.bmgr.Bmgr:374;5;0.61538464;4
com.android.commands.bmgr.Bmgr:422;1;0.75;1
com.android.commands.bmgr.Bmgr:431;0;1.0;0
com.android.commands.ime.Ime:39;0;1.0;0
com.android.commands.ime.Ime:43;2;0.7777778;2
com.android.commands.ime.Ime:88;5;0.61538464;4
com.android.commands.ime.Ime:138;2;0.71428573;2
com.android.commands.ime.Ime:165;2;0.6;2
com.android.commands.ime.Ime:186;1;0.8;1
com.android.commands.ime.Ime:211;1;0.8;1
com.android.commands.ime.Ime:223;1;0.75;1
com.android.commands.ime.Ime:232;0;1.0;0
com.android.commands.input.Input:39;0;1.0;0
com.android.commands.input.Input:43;1;0.6666667;1
com.android.commands.input.Input:73;6;0.5;5
com.android.commands.input.Input:117;3;0.6666667;2
com.android.commands.input.Input:135;0;-1.0;0
com.android.commands.input.Input:139;0;1.0;0
com.android.commands.pm.Pm:62;0;1.0;0
com.android.commands.pm.Pm:66;4;0.6666667;3
com.android.commands.pm.Pm:158;0;1.0;0
com.android.commands.pm.Pm:186;6;0.625;4
com.android.commands.pm.Pm:248;2;0.33333334;2
com.android.commands.pm.Pm:259;2;0.33333334;2
com.android.commands.pm.Pm:286;0;1.0;0
com.android.commands.pm.Pm:297;0;1.0;0
com.android.commands.pm.Pm:322;1;0.0;1
com.android.commands.pm.Pm:351;1;0.0;1
com.android.commands.pm.Pm:379;3;0.5714286;3
com.android.commands.pm.Pm:395;2;0.71428573;2
com.android.commands.pm.Pm:411;4;0.73333335;3
com.android.commands.pm.Pm:483;22;0.42105263;7
com.android.commands.pm.Pm:592;0;1.0;0
com.android.commands.pm.Pm:606;0;1.0;0
com.android.commands.pm.Pm:619;9;0.35714287;3
com.android.commands.pm.Pm:648;1;0.8;1
com.android.commands.pm.Pm:675;4;0.5;2
com.android.commands.pm.Pm:693;8;0.46666667;2
com.android.commands.pm.Pm:763;0;1.0;0
com.android.commands.pm.Pm:772;1;0.8333333;1
com.android.commands.pm.Pm:794;2;0.71428573;1
com.android.commands.pm.Pm:814;3;0.4;1
com.android.commands.pm.Pm:826;4;0.5555556;1
com.android.commands.pm.Pm:861;3;0.5714286;2
com.android.commands.pm.Pm:874;4;0.5;4
com.android.commands.pm.Pm:892;1;0.8;1
com.android.commands.pm.Pm:917;1;0.8;1
com.android.commands.pm.Pm:929;1;0.75;1
com.android.commands.pm.Pm:938;0;1.0;0
com.android.commands.svc.DataCommand:31;0;1.0;0
com.android.commands.svc.DataCommand:35;0;1.0;0
com.android.commands.svc.DataCommand:44;6;0.4;5
com.android.commands.svc.PowerCommand:33;0;1.0;0
com.android.commands.svc.PowerCommand:37;0;1.0;0
com.android.commands.svc.PowerCommand:44;7;0.36363637;6
com.android.commands.svc.Svc:28;0;1.0;0
com.android.commands.svc.Svc:32;0;-1.0;0
com.android.commands.svc.Svc:33;0;-1.0;0
com.android.commands.svc.Svc:34;0;-1.0;0
com.android.commands.svc.Svc:37;1;0.75;1
com.android.commands.svc.Svc:48;1;0.8333333;1
com.android.commands.svc.Svc:60;0;1.0;0
com.android.commands.svc.Svc:63;0;-1.0;0
com.android.commands.svc.Svc:66;2;0.7777778;2
com.android.commands.svc.WifiCommand:31;0;1.0;0
com.android.commands.svc.WifiCommand:35;0;1.0;0
com.android.commands.svc.WifiCommand:44;7;0.36363637;6
android.accessibilityservice.AccessibilityService:119;0;-1.0;0
android.accessibilityservice.AccessibilityService:124;0;-1.0;0
android.accessibilityservice.AccessibilityService:134;0;-1.0;0
android.accessibilityservice.AccessibilityService:146;0;1.0;0
android.accessibilityservice.AccessibilityService:156;1;0.8333333;1
android.accessibilityservice.AccessibilityService:171;0;1.0;0
android.accessibilityservice.AccessibilityService:195;0;1.0;0
