name;wmc;atfd;tcc
com.android.commands.am.Am;198;87;0.05291005291005291
com.android.commands.bmgr.Bmgr;83;17;0.22529644268774704
com.android.commands.ime.Ime;43;16;0.3333333333333333
com.android.commands.input.Input;17;11;0.0
com.android.commands.pm.Pm;198;119;0.15270935960591134
com.android.commands.svc.DataCommand;11;7;0.0
com.android.commands.svc.PowerCommand;11;10;0.0
com.android.commands.svc.Svc;18;4;0.06666666666666667
com.android.commands.svc.WifiCommand;10;8;0.0
core.config.debug.android.util.ConfigBuildFlags;0;0;0.0
core.config.ndebug.android.util.ConfigBuildFlags;0;0;0.0
core.config.sdk.android.util.ConfigBuildFlags;0;0;0.0
core.java.android.accessibilityservice.AccessibilityService;18;6;0.17857142857142858
core.java.android.accessibilityservice.AccessibilityServiceInfo;4;5;0.0
core.java.android.accounts.AbstractAccountAuthenticator;63;66;0.0
core.java.android.accounts.Account;12;4;0.047619047619047616
core.java.android.accounts.AccountAuthenticatorActivity;6;2;0.6666666666666666
core.java.android.accounts.AccountAuthenticatorCache;4;19;0.0
core.java.android.accounts.AccountAuthenticatorResponse;13;6;0.14285714285714285
core.java.android.accounts.AccountManager;197;49;0.013289036544850499
core.java.android.accounts.AccountManagerCallback;1;0;0.0
core.java.android.accounts.AccountManagerFuture;5;0;0.0
core.java.android.accounts.AccountManagerResponse;8;0;0.0
core.java.android.accounts.AccountManagerService;375;390;0.18092566619915848
core.java.android.accounts.AccountsException;0;0;0.0
core.java.android.accounts.AuthenticatorDescription;14;1;0.10714285714285714
core.java.android.accounts.AuthenticatorException;0;0;0.0
core.java.android.accounts.ChooseAccountActivity;7;12;1.0
core.java.android.accounts.GrantCredentialsPermissionActivity;18;36;0.07142857142857142
core.java.android.accounts.IAccountAuthenticatorCache;4;0;0.0
core.java.android.accounts.NetworkErrorException;0;0;0.0
core.java.android.accounts.OnAccountsUpdateListener;1;0;0.0
core.java.android.accounts.OperationCanceledException;0;0;0.0
core.java.android.animation.Animator;28;2;0.047619047619047616
core.java.android.animation.AnimatorInflater;50;76;0.0
core.java.android.animation.AnimatorListenerAdapter;4;0;0.0
core.java.android.animation.AnimatorSet;142;68;0.10256410256410256
core.java.android.animation.DoubleEvaluator;1;0;0.0
core.java.android.animation.FloatEvaluator;1;0;0.0
core.java.android.animation.FloatKeyframeSet;18;29;0.0
core.java.android.animation.IntEvaluator;1;0;0.0
core.java.android.animation.IntKeyframeSet;18;29;0.0
core.java.android.animation.Keyframe;31;10;0.14285714285714285
core.java.android.animation.KeyframeSet;32;37;0.0
core.java.android.animation.LayoutTransition;96;32;0.4276923076923077
core.java.android.animation.ObjectAnimator;38;21;0.21052631578947367
core.java.android.animation.PropertyValuesHolder;93;55;0.07389162561576355
core.java.android.animation.RGBEvaluator;1;0;0.0
core.java.android.animation.TimeAnimator;9;0;0.1
core.java.android.animation.TimeInterpolator;1;0;0.0
core.java.android.animation.TypeEvaluator;1;0;0.0
core.java.android.animation.ValueAnimator;140;50;0.10993657505285412
core.java.android.annotation.SdkConstant;0;2;0.0
core.java.android.annotation.Widget;0;2;0.0
core.java.android.app.ActionBar;63;17;0.0
core.java.android.app.Activity;414;186;0.041696364932287955
core.java.android.app.ActivityGroup;14;3;0.022222222222222223
core.java.android.app.ActivityManager;76;5;0.0033333333333333335
core.java.android.app.ActivityManagerNative;355;260;0.0
core.java.android.app.ActivityThread;721;885;0.091006216006216
core.java.android.app.AlarmManager;12;5;0.0
core.java.android.app.AlertDialog;66;102;0.0
core.java.android.app.AliasActivity;18;12;0.0
core.java.android.app.AppGlobals;3;1;0.0
core.java.android.app.Application;5;0;0.0
core.java.android.app.ApplicationErrorReport;41;20;0.047619047619047616
core.java.android.app.ApplicationLoaders;5;1;0.0
core.java.android.app.ApplicationPackageManager;218;81;0.006329113924050633
core.java.android.app.ApplicationThreadNative;110;118;0.0
core.java.android.app.BackStackRecord;121;139;0.16755793226381463
core.java.android.app.ContextImpl;271;183;0.026651735722284433
core.java.android.app.DatePickerDialog;8;18;0.09523809523809523
core.java.android.app.Dialog;144;72;0.014629948364888123
core.java.android.app.DialogFragment;48;17;0.3391812865497076
core.java.android.app.DownloadManager;133;121;0.04040404040404041
core.java.android.app.ExpandableListActivity;18;12;0.06593406593406594
core.java.android.app.Fragment;110;32;0.07688492063492064
core.java.android.app.FragmentBreadCrumbs;38;40;0.15151515151515152
core.java.android.app.FragmentManager;414;315;0.1293269230769231
core.java.android.app.FragmentTransaction;21;0;0.0
core.java.android.app.FullBackupAgent;9;4;0.0
core.java.android.app.IActivityManager;127;115;0.0
core.java.android.app.IApplicationThread;37;37;0.0
core.java.android.app.Instrumentation;166;87;0.024256651017214397
core.java.android.app.IntentService;9;5;0.03571428571428571
core.java.android.app.KeyguardManager;11;2;0.06666666666666667
core.java.android.app.LauncherActivity;57;58;0.017316017316017316
core.java.android.app.ListActivity;17;9;0.1282051282051282
core.java.android.app.ListFragment;36;26;125
core.java.android.app.LoadedApk;166;108;0.01757631822386679
core.java.android.app.LoaderManager;112;22;0.37681159420289856
core.java.android.app.LocalActivityManager;99;99;0.3
core.java.android.app.NativeActivity;71;24;0.15757575757575756
core.java.android.app.Notification;81;76;0.09247311827956989
core.java.android.app.NotificationManager;15;5;0.5
core.java.android.app.PendingIntent;52;16;0.05238095238095238
core.java.android.app.ProgressDialog;48;31;0.36666666666666664
core.java.android.app.QueuedWork;7;2;0.0
core.java.android.app.ResultInfo;7;0;0.1
core.java.android.app.SearchDialog;85;119;0.0659536541889483
core.java.android.app.SearchManager;43;21;0.19047619047619047
core.java.android.app.SearchableInfo;82;79;0.04983388704318937
core.java.android.app.Service;27;3;0.09941520467836257
core.java.android.app.SharedPreferencesImpl;97;44;0.030303030303030304
core.java.android.app.StatusBarManager;12;5;0.0
