name;atfd;laa;fdp
de.masters_of_disaster.ant.tasks.ar.Ar:43;0;1.0;0
de.masters_of_disaster.ant.tasks.ar.Ar:54;0;1.0;0
de.masters_of_disaster.ant.tasks.ar.Ar:62;0;1.0;0
de.masters_of_disaster.ant.tasks.ar.Ar:81;0;1.0;0
de.masters_of_disaster.ant.tasks.ar.Ar:89;21;0.43243244;8
de.masters_of_disaster.ant.tasks.ar.Ar:205;19;0.2962963;8
de.masters_of_disaster.ant.tasks.ar.Ar:279;2;0.6666667;2
de.masters_of_disaster.ant.tasks.ar.Ar:322;2;0.6;2
de.masters_of_disaster.ant.tasks.ar.Ar:337;1;0.6666667;1
de.masters_of_disaster.ant.tasks.ar.Ar:345;0;1.0;0
de.masters_of_disaster.ant.tasks.ar.Ar:353;0;1.0;0
de.masters_of_disaster.ant.tasks.ar.Ar:360;0;1.0;0
de.masters_of_disaster.ant.tasks.ar.Ar:368;0;1.0;0
de.masters_of_disaster.ant.tasks.ar.Ar:375;0;1.0;0
de.masters_of_disaster.ant.tasks.ar.Ar:386;0;1.0;0
de.masters_of_disaster.ant.tasks.ar.Ar:393;0;1.0;0
de.masters_of_disaster.ant.tasks.ar.Ar:422;0;1.0;0
de.masters_of_disaster.ant.tasks.ar.Ar:429;1;0.0;1
de.masters_of_disaster.ant.tasks.ar.Ar:436;1;0.0;1
de.masters_of_disaster.ant.tasks.ar.Ar:443;1;0.0;1
de.masters_of_disaster.ant.tasks.ar.Ar:450;1;0.0;1
de.masters_of_disaster.ant.tasks.ar.Ar:457;1;0.0;1
de.masters_of_disaster.ant.tasks.ar.Ar:464;1;0.0;1
de.masters_of_disaster.ant.tasks.ar.ArEntry:145;1;0.0;1
de.masters_of_disaster.ant.tasks.ar.ArEntry:156;2;0.5;2
de.masters_of_disaster.ant.tasks.ar.ArEntry:168;1;0.0;1
de.masters_of_disaster.ant.tasks.ar.ArEntry:177;0;-1.0;0
de.masters_of_disaster.ant.tasks.ar.ArEntry:186;0;1.0;0
de.masters_of_disaster.ant.tasks.ar.ArEntry:195;0;1.0;0
de.masters_of_disaster.ant.tasks.ar.ArEntry:204;0;-1.0;0
de.masters_of_disaster.ant.tasks.ar.ArEntry:213;0;1.0;0
de.masters_of_disaster.ant.tasks.ar.ArEntry:222;0;-1.0;0
de.masters_of_disaster.ant.tasks.ar.ArEntry:231;0;1.0;0
de.masters_of_disaster.ant.tasks.ar.ArEntry:241;0;1.0;0
de.masters_of_disaster.ant.tasks.ar.ArEntry:252;0;1.0;0
de.masters_of_disaster.ant.tasks.ar.ArEntry:261;1;0.5;1
de.masters_of_disaster.ant.tasks.ar.ArEntry:270;0;1.0;0
de.masters_of_disaster.ant.tasks.ar.ArEntry:279;0;-1.0;0
de.masters_of_disaster.ant.tasks.ar.ArEntry:288;0;-1.0;0
de.masters_of_disaster.ant.tasks.ar.ArEntry:297;0;-1.0;0
de.masters_of_disaster.ant.tasks.ar.ArEntry:306;0;1.0;0
de.masters_of_disaster.ant.tasks.ar.ArEntry:315;5;0.6666667;2
de.masters_of_disaster.ant.tasks.ar.ArEntry:336;0;1.0;0
