name;wmc;atfd;tcc
de.masters_of_disaster.ant.tasks.ar.Ar;57;44;0.023715415019762844
de.masters_of_disaster.ant.tasks.ar.ArConstants;0;0;0.0
de.masters_of_disaster.ant.tasks.ar.ArEntry;25;7;0.0196078431372549
de.masters_of_disaster.ant.tasks.ar.ArOutputStream;21;15;0.6666666666666666
de.masters_of_disaster.ant.tasks.ar.ArUtils;22;0;0.0
de.masters_of_disaster.ant.tasks.calculatesize.CalculateSize;12;2;0.3
de.masters_of_disaster.ant.tasks.deb.Deb;50;76;0.1111111111111111
doclet.GenerateTocXML;11;5;0.0
installer.BZip2Constants;0;0;0.0
installer.CBZip2InputStream;128;1;0.15270935960591134
installer.CBZip2OutputStream;255;1;0.14112903225806453
installer.CRC;4;0;1.0
installer.ConsoleInstall;13;19;0.0
installer.ConsoleProgress;5;0;0.0
installer.Install;20;14;0.0
installer.InstallThread;8;7;1.0
installer.InvalidHeaderException;0;0;0.0
installer.NonInteractiveInstall;8;10;0.0
installer.OperatingSystem;48;16;0.02197802197802198
installer.Progress;5;0;0.0
installer.ServerKiller;9;5;0.0
installer.SwingInstall;78;210;0.011396011396011397
installer.TarBuffer;51;11;0.0
installer.TarEntry;53;99;0.0
installer.TarHeader;30;19;0.0
installer.TarInputStream;49;9;0.0
installer.TarOutputStream;22;8;0.0
jars.MacOSX.macosx.MacOSXPlugin;40;37;0.0
jars.MacOSX.macosx.OSXAdapter;27;6;0.06666666666666667
jars.QuickNotepad.QuickNotepad;27;23;0.24444444444444444
jars.QuickNotepad.QuickNotepadActions;3;0;0.0
jars.QuickNotepad.QuickNotepadOptionPane;7;35;0.0
jars.QuickNotepad.QuickNotepadPlugin;0;0;0.0
jars.QuickNotepad.QuickNotepadTextArea;0;0;0.0
jars.QuickNotepad.QuickNotepadToolPanel;6;13;0.0
net.sourceforge.jarbundler.AppBundleProperties;55;0;0.013574660633484163
net.sourceforge.jarbundler.DocumentType;17;0;0.07692307692307693
net.sourceforge.jarbundler.HelpBook;10;0;0.06666666666666667
net.sourceforge.jarbundler.JarBundler;184;123;0.03403755868544601
