name;wmc;atfd;tcc
androidprefs.src.com.android.prefs.AndroidLocation;12;6;0.3333333333333333
anttasks.src.com.android.ant.AaptExecLoopTask;79;13;0.08333333333333333
anttasks.src.com.android.ant.AidlExecTask;13;7;0.3
anttasks.src.com.android.ant.ApkBuilderTask;49;14;0.06535947712418301
anttasks.src.com.android.ant.BaseTask;12;0;0.3333333333333333
anttasks.src.com.android.ant.DependencyGraph;39;8;0.17857142857142858
anttasks.src.com.android.ant.IfElseTask;14;0;0.5
anttasks.src.com.android.ant.NewSetupTask;86;86;0.043478260869565216
anttasks.src.com.android.ant.RenderScriptTask;16;9;0.26666666666666666
anttasks.src.com.android.ant.SetupTask;2;0;0.0
anttasks.src.com.android.ant.TaskHelper;10;7;0.0
anttasks.src.com.android.ant.XPathTask;13;0;0.4
archquery.src.com.android.archquery.Main;9;3;0.0
assetstudio.src.com.android.assetstudiolib.GraphicGenerator;11;5;0.0
assetstudio.src.com.android.assetstudiolib.GraphicGeneratorContext;1;0;0.0
assetstudio.src.com.android.assetstudiolib.LauncherIconGenerator;2;25;0.0
assetstudio.src.com.android.assetstudiolib.MenuIconGenerator;1;19;0.0
assetstudio.src.com.android.assetstudiolib.TextRenderUtil;5;14;0.0
assetstudio.src.com.android.assetstudiolib.Util;33;125;0.0
chimpchat.src.com.android.chimpchat.ChimpChat;9;4;0.0
chimpchat.src.com.android.chimpchat.ChimpManager;46;14;0.0
chimpchat.src.com.android.chimpchat.adb.AdbBackend;14;17;0.0
chimpchat.src.com.android.chimpchat.adb.AdbChimpDevice;98;66;0.020161290322580645
chimpchat.src.com.android.chimpchat.adb.AdbChimpImage;2;0;1.0
chimpchat.src.com.android.chimpchat.adb.CommandOutputCapture;4;0;0.0
chimpchat.src.com.android.chimpchat.adb.LinearInterpolator;13;10;0.1111111111111111
chimpchat.src.com.android.chimpchat.adb.LoggingOutputReceiver;4;0;0.0
chimpchat.src.com.android.chimpchat.adb.image.CaptureRawAndConvertedImage;3;28;0.0
chimpchat.src.com.android.chimpchat.adb.image.ImageUtils;8;17;0.16666666666666666
chimpchat.src.com.android.chimpchat.adb.image.SixteenBitColorModel;10;4;0.0
chimpchat.src.com.android.chimpchat.adb.image.ThirtyTwoBitColorModel;11;16;0.0
chimpchat.src.com.android.chimpchat.core.By;3;0;0.0
chimpchat.src.com.android.chimpchat.core.ChimpException;0;0;0.0
chimpchat.src.com.android.chimpchat.core.ChimpImageBase;28;21;0.0
chimpchat.src.com.android.chimpchat.core.ChimpRect;8;4;0.9
chimpchat.src.com.android.chimpchat.core.ChimpView;22;18;0.04395604395604396
chimpchat.src.com.android.chimpchat.core.IChimpBackend;3;0;0.0
chimpchat.src.com.android.chimpchat.core.IChimpDevice;24;0;0.0
chimpchat.src.com.android.chimpchat.core.IChimpImage;7;0;0.0
chimpchat.src.com.android.chimpchat.core.IChimpView;13;0;0.0
chimpchat.src.com.android.chimpchat.core.IMultiSelector;1;0;0.0
chimpchat.src.com.android.chimpchat.core.ISelector;1;0;0.0
chimpchat.src.com.android.chimpchat.core.MultiSelectorText;4;9;0.0
chimpchat.src.com.android.chimpchat.core.PhysicalButton;1;0;0.0
chimpchat.src.com.android.chimpchat.core.SelectorAccessibilityIds;1;2;0.0
chimpchat.src.com.android.chimpchat.core.SelectorId;1;2;0.0
chimpchat.src.com.android.chimpchat.core.TouchPressType;3;2;0.0
chimpchat.src.com.android.chimpchat.hierarchyviewer.HierarchyViewer;22;22;0.047619047619047616
chimpchat.test.com.android.chimpchat.AllTests;4;3;0.0
chimpchat.test.com.android.chimpchat.ImageUtilsTest;10;10;0.0
chimpchat.test.com.android.chimpchat.adb.AdbChimpDeviceTest;3;5;0.0
chimpchat.test.com.android.chimpchat.adb.LinearInterpolatorTest;16;24;0.0
common.src.com.android.AndroidConstants;0;0;0.0
common.src.com.android.annotations.Nullable;0;1;0.0
common.src.com.android.annotations.VisibleForTesting;0;2;0.0
common.src.com.android.io.FileWrapper;15;2;0.0
common.src.com.android.io.FolderWrapper;19;8;0.0
common.src.com.android.io.IAbstractFile;5;0;0.0
common.src.com.android.io.IAbstractFolder;6;0;0.0
common.src.com.android.io.IAbstractResource;4;0;0.0
common.src.com.android.io.StreamException;0;0;0.0
common.src.com.android.resources.Density;20;1;0.022222222222222223
common.src.com.android.resources.FolderTypeRelationship;16;61;0.0
common.src.com.android.resources.Keyboard;16;1;0.0
common.src.com.android.resources.KeyboardState;14;0;0.0
common.src.com.android.resources.Navigation;14;0;0.0
common.src.com.android.resources.NavigationState;14;0;0.0
common.src.com.android.resources.NightMode;14;0;0.0
common.src.com.android.resources.ResourceEnum;5;0;0.0
common.src.com.android.resources.ResourceFolderType;5;12;0.0
common.src.com.android.resources.ResourceType;11;5;0.0
common.src.com.android.resources.ScreenOrientation;14;0;0.0
common.src.com.android.resources.ScreenRatio;14;0;0.0
common.src.com.android.resources.ScreenSize;14;0;0.0
common.src.com.android.resources.TouchScreen;14;0;0.0
common.src.com.android.resources.UiMode;14;0;0.03571428571428571
common.src.com.android.util.Pair;17;5;0.6
common.tests.src.com.android.resources.FolderTypeRelationShipTest;4;2;0.0
ddms.app.src.com.android.ddms.AboutDialog;10;32;0.16666666666666666
ddms.app.src.com.android.ddms.DebugPortProvider;17;12;0.4
ddms.app.src.com.android.ddms.DeviceCommandDialog;42;60;0.11428571428571428
ddms.app.src.com.android.ddms.DropdownSelectionListener;4;18;0.0
ddms.app.src.com.android.ddms.Main;15;9;0.0
ddms.app.src.com.android.ddms.PrefsDialog;38;90;0.1282051282051282
ddms.app.src.com.android.ddms.StaticPortConfigDialog;29;93;0.19696969696969696
ddms.app.src.com.android.ddms.StaticPortEditDialog;34;84;0.16666666666666666
ddms.app.src.com.android.ddms.UIThread;186;523;0.0236734693877551
ddms.libs.ddmlib.src.com.android.ddmlib.AdbCommandRejectedException;2;0;0.0
ddms.libs.ddmlib.src.com.android.ddmlib.AdbHelper;79;53;0.0457516339869281
ddms.libs.ddmlib.src.com.android.ddmlib.AllocationInfo;34;17;0.13186813186813187
ddms.libs.ddmlib.src.com.android.ddmlib.AndroidDebugBridge;135;32;0.2807807807807808
ddms.libs.ddmlib.src.com.android.ddmlib.BadPacketException;0;0;0.0
ddms.libs.ddmlib.src.com.android.ddmlib.CanceledException;1;0;0.0
ddms.libs.ddmlib.src.com.android.ddmlib.ChunkHandler;22;14;0.030303030303030304
ddms.libs.ddmlib.src.com.android.ddmlib.Client;102;34;0.038461538461538464
ddms.libs.ddmlib.src.com.android.ddmlib.ClientData;65;5;0.015373864430468204
ddms.libs.ddmlib.src.com.android.ddmlib.CollectingOutputReceiver;7;0;0.1
ddms.libs.ddmlib.src.com.android.ddmlib.DdmConstants;6;1;0.0
ddms.libs.ddmlib.src.com.android.ddmlib.DdmPreferences;19;5;0.058823529411764705
ddms.libs.ddmlib.src.com.android.ddmlib.DebugPortManager;3;0;0.3333333333333333
ddms.libs.ddmlib.src.com.android.ddmlib.Debugger;34;16;0.21212121212121213
ddms.libs.ddmlib.src.com.android.ddmlib.Device;99;29;0.03695324283559578
ddms.libs.ddmlib.src.com.android.ddmlib.DeviceMonitor;140;70;0.06060606060606061
ddms.libs.ddmlib.src.com.android.ddmlib.EmulatorConsole;95;35;0.019943019943019943
ddms.libs.ddmlib.src.com.android.ddmlib.FileListingService;94;29;0.040336134453781515
ddms.libs.ddmlib.src.com.android.ddmlib.GetPropReceiver;8;1;0.0
ddms.libs.ddmlib.src.com.android.ddmlib.HandleAppName;7;4;0.1
ddms.libs.ddmlib.src.com.android.ddmlib.HandleExit;5;0;0.0
ddms.libs.ddmlib.src.com.android.ddmlib.HandleHeap;59;68;0.18181818181818182
ddms.libs.ddmlib.src.com.android.ddmlib.HandleHello;14;14;0.16666666666666666
ddms.libs.ddmlib.src.com.android.ddmlib.HandleNativeHeap;28;28;0.10714285714285714
ddms.libs.ddmlib.src.com.android.ddmlib.HandleProfiling;26;19;0.24358974358974358
ddms.libs.ddmlib.src.com.android.ddmlib.HandleTest;6;3;0.1
ddms.libs.ddmlib.src.com.android.ddmlib.HandleThread;41;42;0.09523809523809523
ddms.libs.ddmlib.src.com.android.ddmlib.HandleWait;6;5;0.1
ddms.libs.ddmlib.src.com.android.ddmlib.HeapSegment;45;40;0.13071895424836602
ddms.libs.ddmlib.src.com.android.ddmlib.IDevice;38;0;0.0
ddms.libs.ddmlib.src.com.android.ddmlib.IShellOutputReceiver;3;0;0.0
ddms.libs.ddmlib.src.com.android.ddmlib.IStackTraceInfo;1;0;0.0
ddms.libs.ddmlib.src.com.android.ddmlib.InstallException;2;1;0.0
ddms.libs.ddmlib.src.com.android.ddmlib.JdwpPacket;27;22;0.25833333333333336
ddms.libs.ddmlib.src.com.android.ddmlib.Log;39;18;0.017543859649122806
ddms.libs.ddmlib.src.com.android.ddmlib.MonitorThread;98;50;0.2608695652173913
ddms.libs.ddmlib.src.com.android.ddmlib.MultiLineReceiver;13;0;0.2
ddms.libs.ddmlib.src.com.android.ddmlib.NativeAllocationInfo;33;13;0.16666666666666666
ddms.libs.ddmlib.src.com.android.ddmlib.NativeLibraryMapInfo;5;0;0.3333333333333333
ddms.libs.ddmlib.src.com.android.ddmlib.NativeStackCallInfo;6;0;0.0
ddms.libs.ddmlib.src.com.android.ddmlib.NullOutputReceiver;4;0;0.0
ddms.libs.ddmlib.src.com.android.ddmlib.RawImage;19;30;0.14285714285714285
ddms.libs.ddmlib.src.com.android.ddmlib.ShellCommandUnresponsiveException;0;0;0.0
ddms.libs.ddmlib.src.com.android.ddmlib.SyncException;3;3;0.3333333333333333
ddms.libs.ddmlib.src.com.android.ddmlib.SyncService;96;108;0.05333333333333334
ddms.libs.ddmlib.src.com.android.ddmlib.ThreadInfo;12;0;0.12121212121212122
ddms.libs.ddmlib.src.com.android.ddmlib.TimeoutException;0;0;0.0
ddms.libs.ddmlib.src.com.android.ddmlib.log.EventContainer;82;25;0.07692307692307693
ddms.libs.ddmlib.src.com.android.ddmlib.log.EventLogParser;85;39;0.0
ddms.libs.ddmlib.src.com.android.ddmlib.log.EventValueDescription;27;8;0.17857142857142858
ddms.libs.ddmlib.src.com.android.ddmlib.log.GcEventContainer;56;65;0.07272727272727272
ddms.libs.ddmlib.src.com.android.ddmlib.log.InvalidTypeException;0;0;0.0
ddms.libs.ddmlib.src.com.android.ddmlib.log.InvalidValueTypeException;0;0;0.0
ddms.libs.ddmlib.src.com.android.ddmlib.log.LogReceiver;15;13;0.26666666666666666
ddms.libs.ddmlib.src.com.android.ddmlib.testrunner.IRemoteAndroidTestRunner;21;1;0.0
ddms.libs.ddmlib.src.com.android.ddmlib.testrunner.ITestRunListener;7;0;0.0
com.android.ddmlib.testrunner.InstrumentationResultParser;78;52;0.22631578947368422
ddms.libs.ddmlib.src.com.android.ddmlib.testrunner.RemoteAndroidTestRunner;31;9;0.0196078431372549
ddms.libs.ddmlib.src.com.android.ddmlib.testrunner.TestIdentifier;9;2;0.0
ddms.libs.ddmlib.src.com.android.ddmlib.utils.ArrayHelper;4;0;0.0
ddms.libs.ddmlib.tests.src.com.android.ddmlib.EmulatorConsoleTest;3;3;0.0
ddms.libs.ddmlib.tests.src.com.android.ddmlib.testrunner.InstrumentationResultParserTest;26;24;0.24615384615384617
ddms.libs.ddmlib.tests.src.com.android.ddmlib.testrunner.RemoteAndroidTestRunnerTest;9;7;0.17857142857142858
ddms.libs.ddmuilib.src.com.android.ddmuilib.Addr2Line;21;11;0.8
ddms.libs.ddmuilib.src.com.android.ddmuilib.AllocationPanel;77;119;0.006666666666666667
ddms.libs.ddmuilib.src.com.android.ddmuilib.BackgroundThread;3;0;1.0
ddms.libs.ddmuilib.src.com.android.ddmuilib.BaseHeapPanel;17;14;0.5
ddms.libs.ddmuilib.src.com.android.ddmuilib.ClientDisplayPanel;2;0;0.0
ddms.libs.ddmuilib.src.com.android.ddmuilib.DdmUiPreferences;10;0;0.1111111111111111
ddms.libs.ddmuilib.src.com.android.ddmuilib.DevicePanel;117;81;0.05555555555555555
ddms.libs.ddmuilib.src.com.android.ddmuilib.EmulatorControlPanel;156;463;0.12698412698412698
ddms.libs.ddmuilib.src.com.android.ddmuilib.HeapPanel;126;274;0.0285204991087344
ddms.libs.ddmuilib.src.com.android.ddmuilib.ITableFocusListener;4;0;0.0
ddms.libs.ddmuilib.src.com.android.ddmuilib.ImageLoader;19;8;0.0
ddms.libs.ddmuilib.src.com.android.ddmuilib.InfoPanel;22;50;0.047619047619047616
ddms.libs.ddmuilib.src.com.android.ddmuilib.NativeHeapPanel;167;390;0.04242424242424243
ddms.libs.ddmuilib.src.com.android.ddmuilib.Panel;4;0;0.0
ddms.libs.ddmuilib.src.com.android.ddmuilib.PortFieldEditor;7;0;0.0
ddms.libs.ddmuilib.src.com.android.ddmuilib.ScreenShotDialog;24;90;0.03571428571428571
ddms.libs.ddmuilib.src.com.android.ddmuilib.SelectionDependentPanel;8;0;0.0
ddms.libs.ddmuilib.src.com.android.ddmuilib.StackTracePanel;28;22;0.04395604395604396
ddms.libs.ddmuilib.src.com.android.ddmuilib.SyncProgressHelper;10;0;0.0
ddms.libs.ddmuilib.src.com.android.ddmuilib.SyncProgressMonitor;5;1;0.0
