name;wmc;atfd;tcc
renderscript.v8.java.src.android.support.v8.renderscript.Allocation;124;159;0.047311827956989246
android.support.v8.renderscript.AllocationAdapter;39;10;0.0
android.support.v8.renderscript.BaseObj;19;3;1.0
android.support.v8.renderscript.Byte2;0;0;0.0
android.support.v8.renderscript.Byte3;0;0;0.0
android.support.v8.renderscript.Byte4;0;0;0.0
android.support.v8.renderscript.Double2;0;0;0.0
android.support.v8.renderscript.Double3;0;0;0.0
android.support.v8.renderscript.Double4;0;0;0.0
android.support.v8.renderscript.Element;188;277;0.009780907668231613
android.support.v8.renderscript.FieldPacker;69;94;0.029411764705882353
android.support.v8.renderscript.Float2;0;0;0.0
android.support.v8.renderscript.Float3;0;0;0.0
android.support.v8.renderscript.Float4;0;0;0.0
android.support.v8.renderscript.Int2;0;0;0.0
android.support.v8.renderscript.Int3;0;0;0.0
android.support.v8.renderscript.Int4;0;0;0.0
android.support.v8.renderscript.Long2;0;0;0.0
android.support.v8.renderscript.Long3;0;0;0.0
android.support.v8.renderscript.Long4;0;0;0.0
android.support.v8.renderscript.Matrix2f;14;8;0.42424242424242425
android.support.v8.renderscript.Matrix3f;23;11;0.3956043956043956
android.support.v8.renderscript.Matrix4f;37;11;0.3939393939393939
android.support.v8.renderscript.RSDriverException;0;0;0.0
android.support.v8.renderscript.RSIllegalArgumentException;0;0;0.0
android.support.v8.renderscript.RSInvalidStateException;0;0;0.0
android.support.v8.renderscript.RSReflect;7;23;0.0
android.support.v8.renderscript.RSRuntimeException;0;0;0.0
android.support.v8.renderscript.RenderScript;151;26;0.1640706126687435
android.support.v8.renderscript.Sampler;32;92;0.11029411764705882
android.support.v8.renderscript.Script;29;13;0.044444444444444446
android.support.v8.renderscript.ScriptC;6;6;0.0
android.support.v8.renderscript.ScriptGroup;62;54;0.19230769230769232
android.support.v8.renderscript.Short2;0;0;0.0
android.support.v8.renderscript.Short3;0;0;0.0
android.support.v8.renderscript.Short4;0;0;0.0
android.support.v8.renderscript.Type;33;7;0.19230769230769232
android.support.v13.app.FragmentCompatICSMR1;1;1;0.0
android.support.v13.app.FragmentCompatICS;1;1;0.0
android.support.v13.app.FragmentCompat;10;6;0.0
android.support.v13.app.FragmentPagerAdapter;22;9;0.07272727272727272
