name;wmc;atfd;tcc
com.android.internal.telephony.mockril.MockRilController;25;23;0.8
android.provider.Telephony;52;26;0.015151515151515152
android.telephony.CellBroadcastMessage;58;134;0.05
android.telephony.SmsCbCmasInfo;11;0;0.23636363636363636
android.telephony.SmsCbEtwsInfo;17;10;0.2222222222222222
android.telephony.SmsCbLocation;25;6;0.4
android.telephony.SmsCbMessage;25;0;0.1830065359477124
android.telephony.SmsManager;53;24;0.0
android.telephony.SmsMessage;67;61;0.0016806722689075631
android.telephony.gsm.SmsManager;10;1;0.0
android.telephony.gsm.SmsMessage;41;31;0.0
com.android.internal.telephony.ATParseEx;0;0;0.0
com.android.internal.telephony.ATResponseParser;31;3;0.5714285714285714
com.android.internal.telephony.AdnRecord;34;15;0.48333333333333334
com.android.internal.telephony.AdnRecordCache;43;28;0.10909090909090909
com.android.internal.telephony.AdnRecordLoader;25;47;1.0
com.android.internal.telephony.ApnContext;45;17;0.1455026455026455
com.android.internal.telephony.ApnSetting;18;12;0.3333333333333333
com.android.internal.telephony.BaseCommands;117;17;0.011956297670583385
com.android.internal.telephony.Call;38;13;0.005847953216374269
com.android.internal.telephony.CallForwardInfo;2;0;0.0
com.android.internal.telephony.CallManager;273;126;0.04188144329896907
com.android.internal.telephony.CallStateException;0;0;0.0
com.android.internal.telephony.CallTracker;22;7;0.05714285714285714
com.android.internal.telephony.CommandException;19;48;0.0
com.android.internal.telephony.CommandsInterface;214;0;0.0
com.android.internal.telephony.Connection;30;5;0.0026455026455026454
com.android.internal.telephony.DataCallState;43;25;1.0
com.android.internal.telephony.DataConnection;214;179;0.07422402159244265
com.android.internal.telephony.DataConnectionAc;103;40;0.4695121951219512
com.android.internal.telephony.DataConnectionTracker;238;231;0.04036036036036036
com.android.internal.telephony.DebugService;9;3;0.0
com.android.internal.telephony.DefaultPhoneNotifier;60;53;0.0
com.android.internal.telephony.DriverCall;26;25;0.2
com.android.internal.telephony.IccCard;177;189;0.12560386473429952
com.android.internal.telephony.IccCardApplication;62;47;0.0
com.android.internal.telephony.IccCardStatus;36;10;0.10526315789473684
com.android.internal.telephony.IccConstants;0;0;0.0
com.android.internal.telephony.IccException;0;0;0.0
com.android.internal.telephony.IccFileHandler;57;81;375
com.android.internal.telephony.IccFileNotFound;0;0;0.0
com.android.internal.telephony.IccFileTypeMismatch;0;0;0.0
