name;atfd;laa;fdp
javax.el.ArrayELResolver:38;5;0.5;3
javax.el.ArrayELResolver:57;4;0.5555556;3
javax.el.ArrayELResolver:74;7;0.46153846;3
javax.el.ArrayELResolver:106;3;0.625;3
javax.el.ArrayELResolver:122;12;0.33333334;4
javax.el.ArrayELResolver:141;3;0.4;2
javax.el.ArrayELResolver:148;1;0.75;1
javax.el.ArrayELResolver:155;0;1.0;0
javax.el.BeanELResolver:52;4;0.5555556;4
javax.el.BeanELResolver:77;1;0.8;1
javax.el.BeanELResolver:91;4;0.6;4
javax.el.BeanELResolver:125;1;0.8;1
javax.el.BeanELResolver:140;7;0.5;5
javax.el.BeanELResolver:165;1;0.75;0
javax.el.BeanELResolver:197;1;0.8;1
javax.el.BeanELResolver:207;1;0.6666667;1
javax.el.BeanELResolver:211;0;1.0;0
javax.el.BeanELResolver:234;0;-1.0;0
javax.el.BeanELResolver:238;2;0.33333334;2
javax.el.BeanELResolver:243;0;1.0;0
javax.el.BeanELResolver:247;0;1.0;0
javax.el.BeanELResolver:251;4;0.33333334;3
javax.el.BeanELResolver:263;4;0.33333334;3
javax.el.BeanELResolver:276;4;0.5555556;3
javax.el.BeanELResolver:290;10;0.33333334;4
javax.el.BeanELResolver:334;0;1.0;0
javax.el.BeanELResolver:345;0;1.0;0
javax.el.BeanELResolver:359;12;0.6;8
javax.el.CompositeELResolver:35;0;1.0;0
javax.el.CompositeELResolver:49;2;0.7777778;1
javax.el.CompositeELResolver:64;2;0.7777778;1
javax.el.CompositeELResolver:79;2;0.7777778;1
javax.el.CompositeELResolver:94;0;1.0;0
javax.el.CompositeELResolver:99;1;0.875;1
javax.el.CompositeELResolver:113;2;0.7777778;1
javax.el.CompositeELResolver:131;2;0.8181818;1
javax.el.CompositeELResolver:173;0;1.0;0
javax.el.CompositeELResolver:181;0;1.0;0
javax.el.CompositeELResolver:198;0;1.0;0
javax.el.CompositeELResolver:207;0;1.0;0
javax.el.ELContext:43;0;1.0;0
javax.el.ELContext:51;0;1.0;0
javax.el.ELContext:64;0;1.0;0
javax.el.ELContext:68;0;-1.0;0
javax.el.ELContext:72;0;-1.0;0
javax.el.ELContext:74;0;-1.0;0
javax.el.ELContext:76;0;-1.0;0
javax.el.ELContext:78;0;-1.0;0
javax.el.ELContext:82;0;1.0;0
javax.el.ELContextEvent:36;0;-1.0;0
javax.el.ELContextListener:26;0;-1.0;0
javax.el.ELResolver:32;5;0.5;4
javax.el.ELResolver:58;0;-1.0;0
javax.el.ELResolver:60;0;-1.0;0
javax.el.ELResolver:62;0;-1.0;0
javax.el.ELResolver:64;0;-1.0;0
javax.el.ELResolver:66;0;-1.0;0
javax.el.ELResolver:68;0;-1.0;0
javax.el.ELResolver:73;0;1.0;0
