name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
net.sourceforge.ganttproject.action.ResourceActionSet,1,1,1,1,7,0,7,0,1,8,0,,0,0,,,3,7,3,3,0,0,0,3,,38,8,30,12,13,0,,,16,21,11,10,,,,,2,2,2,1,1,1,42,0.00,4,4,4,3
net.sourceforge.ganttproject.action.resource.ResourcePropertiesAction,1,1,1,1,4,0,4,0,1,7,0,,0,0,,,9,3,9,26,0,3,3,3,,55,8,47,15,20,0,,,19,32,15,17,,,,,3,3,3,1,3,2,77,0.00,12,12,12,9
net.sourceforge.ganttproject.chart.ChartViewState,1,1,1,1,7,0,5,1,3,14,0,,0,0,,,15,10,15,15,0,3,0,12,,176,33,120,44,61,23,,,62,88,45,43,,,,,3,3,3,1,1,1,89,0.19,19,19,19,15
net.sourceforge.ganttproject.ChartComponentBase,1,1,1,1,3,0,3,0,1,16,2,,0,1,,,22,6,22,22,0,0,9,13,,429,84,337,120,137,8,,,128,225,116,109,,,,,2,2,2,1,2,1,92,0.02,23,23,23,22
net.sourceforge.ganttproject.chart.DependencyInteractionRenderer,1,1,1,1,7,0,7,0,1,0,0,,0,0,,,6,5,6,6,0,0,0,6,,57,8,46,16,30,3,,,31,39,16,23,,,,,4,4,4,1,1,1,36,0.07,9,9,9,6
net.sourceforge.ganttproject.chart.GraphicPrimitiveContainer,1,1,2,1,7,0,6,0,1,5,0,,0,0,,,12,5,12,12,6,0,0,6,,299,67,212,84,97,20,,,111,164,88,76,,,,,5,5,6,3,1,2,73,0.09,20,20,24,14
net.sourceforge.ganttproject.chart.TaskRendererImpl,3,3,3,1,19,0,18,1,2,37,0,,0,6,,,46,20,46,56,0,29,0,17,,1149,119,933,321,678,113,,,489,666,282,384,,,,,19,19,24,15,2,6,93,0.12,168,168,183,84
net.sourceforge.ganttproject.GanttProject.ExportFileInfo,1,1,1,1,4,0,4,0,1,1,0,,0,9,,,2,3,2,2,0,0,0,2,,41,12,25,17,15,4,,,16,19,15,4,,,,,1,1,1,1,1,0,79,0.16,2,2,2,2
net.sourceforge.ganttproject.GanttResourcePanel,1,1,1,1,10,0,9,0,6,30,0,,0,0,,,41,22,41,41,1,8,0,32,,590,90,460,103,288,41,,,231,330,120,210,,,,,7,7,7,1,2,3,92,0.09,72,72,76,41
net.sourceforge.ganttproject.GanttTreeTable,2,2,2,1,27,1,21,4,2,28,0,,0,1,,,36,9,36,41,8,12,1,15,,1542,176,1056,276,787,313,,,572,781,279,502,,,,,12,12,12,5,3,3,91,0.30,107,105,107,46
net.sourceforge.ganttproject.GanttTreeTableModel,3,2,3,1,14,0,10,3,3,23,0,,0,12,,,32,5,32,32,0,1,0,31,,560,65,352,89,262,147,,,177,241,86,155,,,,,27,17,28,8,2,4,94,0.42,99,66,100,47
net.sourceforge.ganttproject.GPTreeTableBase,1,1,1,1,16,0,15,0,1,3,2,,0,0,,,5,1,5,5,0,0,5,0,,128,14,112,33,70,2,,,58,83,37,46,,,,,2,2,2,1,2,1,60,0.02,7,7,7,5
net.sourceforge.ganttproject.gui.options.LnFSettingsPanel,4,4,4,1,38,3,30,4,2,7,0,,0,0,,,10,12,10,20,0,5,0,5,,449,61,324,57,263,64,,,210,260,69,191,,,,,9,9,9,1,3,3,60,0.20,45,45,47,10
net.sourceforge.ganttproject.resource.HumanResourceManager,1,1,1,1,6,0,6,0,3,12,0,,1,0,,,29,6,30,30,3,4,0,23,,292,48,232,79,129,13,,,128,182,87,95,,,,,4,4,4,3,1,2,85,0.06,47,47,47,32
net.sourceforge.ganttproject.ResourceLoadGraphicArea,1,1,1,1,6,0,5,0,2,22,1,,0,0,,,24,7,24,46,0,2,6,16,,263,44,183,58,108,37,,,86,129,59,70,,,,,5,5,5,3,3,2,91,0.20,32,32,32,26
net.sourceforge.ganttproject.ResourceTreeTable,1,1,1,1,17,1,14,2,2,18,0,,0,1,,,31,8,31,36,6,6,1,18,,694,88,508,126,359,98,,,276,379,152,227,,,,,7,7,8,5,3,2,92,0.19,59,59,61,38
net.sourceforge.ganttproject.ResourceTreeTableModel,2,2,2,1,11,0,9,1,1,14,0,,0,12,,,35,4,35,35,2,3,0,30,,487,69,363,106,257,62,,,203,280,113,167,,,,,14,10,14,3,2,2,90,0.17,81,73,92,37
net.sourceforge.ganttproject.TaskContainmentHierarchyFacadeImpl,2,2,2,1,12,0,11,1,2,9,0,,0,0,,,12,5,12,12,0,1,0,11,,173,17,140,48,95,17,,,73,102,43,59,,,,,5,5,5,3,1,3,73,0.12,32,32,32,16
net.sourceforge.ganttproject.task.TaskImpl,1,1,1,1,7,0,7,0,2,33,2,,0,3,,,74,29,74,74,1,5,5,63,,1190,193,895,235,516,105,,,401,610,256,354,,,,,4,4,5,4,1,3,94,0.12,114,114,123,80
net.sourceforge.ganttproject.task.TaskManagerImpl,1,1,1,1,9,0,8,0,2,54,0,,0,0,,,50,12,50,50,6,8,0,36,,750,88,616,191,363,48,,,311,452,193,259,,,,,7,7,7,1,1,5,91,0.08,95,92,95,50
